"gene","TCGA-73-4670-01A","TCGA-50-5931-01A","TCGA-93-8067-01A","TCGA-L9-A5IP-01A","TCGA-50-5068-01A","TCGA-67-3771-01A","TCGA-97-A4M5-01A","TCGA-86-6562-01A","TCGA-44-5645-01A","TCGA-55-8207-01A","TCGA-86-8358-01A","TCGA-69-8254-01A","TCGA-78-7150-01A","TCGA-50-5946-01A","TCGA-05-4418-01A","TCGA-91-6836-11A","TCGA-44-3398-11B","TCGA-91-6835-11A","TCGA-55-6971-11A","TCGA-44-6144-11A","TCGA-50-5932-11A","TCGA-50-5939-11A","TCGA-50-5930-11A","TCGA-68-A59I-01A","TCGA-33-A5GW-01A","TCGA-21-1070-01A","TCGA-22-5489-01A","TCGA-98-8023-01A","TCGA-96-A4JK-01A","TCGA-56-1622-01A","TCGA-39-5030-01A","TCGA-56-7223-01A","TCGA-33-6737-01A","TCGA-77-A5G6-01A","TCGA-85-8481-01A","TCGA-60-2710-01A","TCGA-O2-A52V-01A","TCGA-77-A5GH-01A","TCGA-22-5491-11A","TCGA-77-7337-11A","TCGA-56-8309-11A","TCGA-43-6647-11A","TCGA-56-7580-11A","TCGA-56-7823-11A","TCGA-77-7335-11A"
"TLN2",8.1101,9.2899,8.6583,8.1968,8.0405,8.4748,9.6814,8.805,10.0025,8.7984,8.8958,9.2616,10.0596,9.3458,8.2403,9.0113,9.6349,9.7657,9.065,8.5852,9.5028,9.5212,8.6731,8.29,9.3638,8.254,8.9965,8.9427,10.7266,9.8634,9.0352,9.7299,8.9445,8.597,9.6239,11.6357,9.3777,9.2974,9.0781,8.8401,8.4234,9.3898,10.0205,9.1028,8.6964
"TPM1",13.0077,12.3276,12.1602,11.4866,13.0811,12.632,12.0642,12.7003,12.1599,12.4868,11.9086,12.9258,12.9841,11.6123,12.6411,11.8721,12.339,11.9388,11.941,12.1063,12.211,12.4771,11.8541,12.3661,11.315,12.4967,13.0093,12.5106,11.1911,12.8098,13.0776,11.3254,12.1061,11.0102,14.652,12.3075,11.9518,14.1335,12.6039,11.7763,11.6129,12.1992,12.288,12.4865,12.5494
"LACTB",9.8957,8.4381,9.2288,9.7386,10.4118,9.7085,9.4644,9.53,9.7577,9.7644,8.9208,10.0784,9.5937,8.632,10.6288,10.2365,9.7456,8.9166,10.0599,10.1751,9.9178,9.9435,10.0304,9.0955,9.5351,9.732,9.5876,9.6091,8.7907,9.087,9.8669,8.8959,10.005,8.6482,10.2048,8.987,9.3777,9.8362,9.4761,10.1044,9.9338,9.676,9.8897,10.1946,10.2912
"RPS27L",10.7325,9.8713,10.2901,11.2879,12.3358,10.9862,10.7256,10.2601,11.4301,10.8269,9.7376,11.7644,10.3987,9.6178,11.2814,11.2407,10.9835,11.0554,10.6763,11.0442,10.6643,10.6708,10.9182,9.7646,10.2569,10.4025,10.2798,10.1621,9.2668,9.1315,10.0584,9.7106,11.28,9.6937,10.4674,9.4753,9.7975,10.6695,11.2938,10.7929,11.1376,10.3523,11.2532,10.8356,11.8805
"RAB8B",9.5749,8.7172,9.1225,11.0625,11.1955,10.537,10.0824,10.1622,11.4907,10.2244,10.2464,10.381,10.3732,9.5615,10.1234,10.9982,11.1041,10.405,10.9086,10.8303,11.2951,11.3421,11.4182,10.1873,8.6099,10.3638,10.2958,9.8866,8.8859,9.4092,10.4368,9.6926,10.4694,9.4323,10.76,10.0984,9.8215,10.4916,10.7692,11.5567,11.0647,11.4418,11.2008,10.9334,11.9763
"APH1B",8.9235,8.3039,8.7312,10.3653,9.6762,9.8263,9.3016,8.8514,10.6681,9.2579,9.519,10.4841,8.7129,9.2559,8.8162,10.2726,10.0619,9.9724,10.1425,9.5802,9.8913,10.1454,9.9097,8.718,8.2154,8.7311,8.9279,8.927,8.7938,7.5909,9.1536,9.4095,8.6518,8.833,8.827,8.6927,8.8925,9.365,10.2435,9.9365,10.122,10.1175,9.9042,9.8482,10.2364
"CA12",12.6368,8.8018,14.4284,13.5442,7.1592,10.7296,7.221,9.2121,7.8626,8.5371,8.2969,7.8086,13.3642,10.1534,13.1121,10.0157,10.5122,9.7657,10.6864,8.9954,9.2,8.6805,9.204,11.0961,14.7759,13.0028,10.6436,10.6491,13.512,9.0176,9.3792,10.115,13.7147,11.0616,13.0153,12.8242,13.6313,9.6792,9.254,8.6153,7.8307,10.152,12.8806,9.1178,7.3556
"USP3",11.7628,10.1164,11.1622,11.0324,10.4454,10.7281,10.8177,10.3538,11.6152,9.9835,10.6858,10.7355,10.3069,11.0313,10.8949,10.7833,10.4956,10.4607,10.8574,10.405,10.4564,10.4527,10.6934,10.1924,10.4399,10.1964,10.2933,10.3379,10.1333,10.4873,10.2122,10.2533,10.8259,10.1342,10.2468,10.9241,10.0104,10.1377,10.4495,10.7745,10.4275,10.4976,10.6451,10.4784,10.3381
"FBXL22",7.8736,7.124,7.1469,6.7267,6.8634,7.1615,6.9892,6.7552,7.1596,6.922,7.2712,6.6656,7.0153,7.2694,6.9114,6.803,6.6713,6.9999,6.8674,6.6102,6.8278,6.9017,6.4494,6.9628,6.8972,6.705,6.999,7.3181,6.8029,6.6938,6.8132,7.136,6.8218,6.5432,6.914,6.99,6.5794,6.2182,6.8048,6.6006,6.7582,6.6071,6.4167,6.6819,6.8748
"HERC1",10.354,10.8893,10.5073,10.7262,9.8902,10.5832,11.0245,10.5131,13.3607,10.8743,11.6696,11.383,10.1739,11.0678,9.8468,11.9763,11.4461,11.4951,11.8734,11.648,11.6612,12.0192,11.2151,10.6984,10.8088,10.2433,10.6609,10.7783,10.56,10.449,10.867,11.2212,10.3399,10.8042,10.8024,11.7571,10.9215,11.0919,11.2266,11.6614,11.3109,11.811,11.8226,11.9175,10.4175
"DAPK2",7.2085,8.7201,7.8664,7.8576,9.4601,8.512,9.2233,9.0556,10.2117,8.9697,8.3613,9.1892,7.855,9.2188,7.7108,10.9989,10.9122,10.7015,11.4579,11.4279,11.5973,11.0557,11.6493,8.4377,8.1125,8.6823,8.8218,7.9239,7.7802,7.5833,8.9165,8.0244,8.4529,8.218,8.0982,9.6958,8.2757,9.0031,11.4962,11.5473,11.3636,11.246,10.9816,10.9327,10.8134
"FAM96A",12.4109,10.2982,10.0125,11.0122,12.1979,10.7481,9.9369,9.8434,10.2917,9.8491,10.6048,10.1933,10.8503,9.8072,11.4013,10.2438,10.0404,9.7687,10.0976,10.3184,9.8643,9.7452,10.2113,9.5977,10.6692,10.3993,10.1282,10.2244,9.6449,9.9093,10.0476,10.6786,10.4087,9.6014,10.2482,10.299,10.4822,10.3063,9.8531,10.1778,10.1133,9.5137,10.2062,10.0074,11.0315
"SNX1",11.9614,11.7997,11.4316,11.6892,12.092,11.9963,11.9889,11.5466,12.255,11.7722,11.6255,11.6985,11.51,11.6086,11.7836,12.6759,12.4742,12.4337,12.807,12.9113,12.8016,12.7909,12.9302,11.3345,11.8978,11.3114,11.6725,11.5983,11.2425,11.7042,11.5606,12.1235,12.0464,11.5122,11.9391,12.4675,11.9858,11.6091,12.7058,12.8577,12.4567,12.7587,12.6614,12.4251,12.4956
"SNX22",14.2664,13.1592,13.158,13.7141,14.0938,13.1383,13.1909,12.6185,12.7172,12.5628,12.0677,13.0171,13.7116,12.3645,14.158,12.5641,12.5235,12.7898,12.4702,12.8519,12.4178,12.5432,12.9047,12.5774,13.6501,12.6393,13.2546,13.3817,12.6164,13.3776,12.9029,12.7502,14.0445,12.0977,14.9173,13.1973,12.6231,13.1581,13.0383,12.4884,12.5307,12.5748,12.5146,12.66,12.909
"PPIB",15.0357,13.7952,13.8494,14.5068,14.7346,13.8881,13.859,13.2951,13.4126,13.2867,12.7632,13.7275,14.4613,13.082,14.9229,13.1358,13.1906,13.4186,13.0277,13.2847,12.9356,13.1761,13.3433,13.1884,14.3182,13.3356,13.9587,14.0078,13.2656,14.1414,13.6272,13.4977,14.6949,12.7506,15.5897,13.9632,13.3146,13.8538,13.559,13.0496,13.0542,13.1526,13.2274,13.2714,13.6006
"CSNK1G1",10.1634,10.1635,10.2392,10.0737,8.496,9.5732,9.7372,9.8449,11.0001,9.1433,10.3775,10.0812,10.6314,10.1987,10.0313,9.9413,9.8366,10.3146,10.0167,9.7453,9.9352,9.9007,9.8053,10.3534,10.4983,10.0221,10.1351,9.9231,10.2195,11.0144,10.0319,10.9697,10.2544,10.3596,10.9278,11.5231,10.8347,10.0037,9.6311,9.8748,9.7515,9.8831,10.1933,9.8151,9.4844
"CTD-2116N17.1",10.707,9.6854,9.5908,9.5183,9.8217,9.0274,8.2061,8.5359,9.4558,7.7349,9.787,8.3964,10.039,9.9535,9.5038,7.6904,7.8148,7.9696,7.8594,7.8321,7.7333,7.7633,7.4161,8.7946,9.2343,9.5306,9.3921,9.4439,8.9283,9.787,8.9505,9.7648,10.1868,9.2428,9.6239,10.3301,9.8654,9.2122,7.4453,7.8451,7.9881,7.8465,8.0986,8.2577,7.9316
"PCLAF",11.182,10.2924,10.0096,9.8709,10.5072,9.4728,8.3197,8.7539,7.7695,7.5648,10.1375,8.1451,10.5437,10.5106,9.9724,6.803,7.2373,7.1977,7.0818,7.5118,7.109,6.9166,6.9209,9.0021,9.7186,10.0909,9.6847,10.1647,8.7752,10.0907,8.8922,9.8886,10.5588,9.6868,9.6716,10.4254,10.0877,9.7329,6.9517,7.1074,7.4862,6.7239,7.8219,8.102,7.3659
"TRIP4",10.8874,9.8969,9.5495,10.4959,9.9539,10.4523,9.7372,9.7203,10.0431,9.4812,9.5982,9.7406,10.6805,10.0156,10.7801,9.8645,9.7596,9.8474,9.7511,9.8727,10.1151,9.882,9.8826,9.437,9.9903,9.8094,9.8309,9.6552,9.1428,10.1105,9.6924,9.9989,10.0699,9.6554,10.3259,10.0758,9.8421,10.0092,9.7046,10.1484,9.9223,9.7385,9.9271,9.659,10.2465
"ZNF609",11.4785,11.8662,11.2692,11.3487,9.0469,10.7435,11.0112,11.0042,11.79,10.801,11.5823,11.327,11.5132,11.7024,10.4632,11.355,11.0937,11.1971,11.3359,11.3622,11.3763,11.5527,11.1939,10.6957,11.3544,10.29,10.7557,11.1806,10.8174,11.5938,11.5186,11.6109,11.37,10.5411,11.1552,12.2541,11.1598,11.4757,11.0493,11.1637,11.3471,11.3967,11.2655,11.2721,10.1311
"OAZ2",11.7494,12.1983,11.4402,11.1375,11.6585,11.8778,11.1388,11.2956,11.3096,11.3883,11.3243,11.0376,11.4658,11.4838,10.947,11.6325,11.778,11.7178,11.6669,11.7915,11.6433,11.6982,11.4141,11.4563,11.7502,10.5582,11.3393,11.193,10.3103,10.9617,11.5242,11.9797,11.2174,11.2031,11.1875,11.9143,11.3256,11.4253,12.0392,11.5539,11.5011,11.5361,11.6321,11.9047,11.6477
"RBPMS2",8.9874,7.5927,7.335,7.6931,6.7783,8.294,8.1295,8.027,6.1574,7.4703,7.2273,7.0308,9.6441,8.7008,9.8784,7.5717,7.9172,7.6523,7.4252,8.0602,7.8852,8.4242,7.9127,7.0046,6.5705,6.869,6.8291,7.1721,7.4997,7.1935,7.1258,8.0875,7.3769,6.7845,7.4527,7.249,6.8734,6.6917,8.2811,7.8642,7.7024,7.7696,8.0455,8.0058,7.8576
"PIF1",7.8587,8.4094,7.2393,8.3168,8.1344,8.2054,7.5654,7.0231,6.7555,6.7303,9.3949,6.775,7.596,9.5632,7.9374,6.5359,6.5599,6.6048,6.6742,6.7454,6.561,6.539,6.5993,8.4507,7.9006,8.8742,7.5861,9.0036,9.2379,7.9951,7.5518,8.5766,8.7479,8.6554,8.37,8.167,8.4069,8.3238,6.8223,6.56,6.8956,6.4197,6.8465,6.886,6.5064
"PLEKHO2",10.3841,9.3432,10.1979,9.9611,11.3322,10.9719,11.131,10.9953,10.9695,10.5819,9.8374,10.6139,10.0338,9.601,10.6774,11.7518,12.2557,11.1451,11.6813,11.6414,11.6708,12.396,12.1963,10.5044,8.9303,10.9631,11.2855,11.193,10.3449,10.0193,11.7729,9.2924,10.5179,9.8788,10.6228,11.1507,10.4557,10.8476,11.8118,11.8417,11.5178,12.3362,11.7919,12.0093,11.4031
"AC069368.3",8.0851,6.975,7.6563,7.5226,8.1344,8.4366,8.3595,8.2772,8.848,8.2249,7.6521,8.2542,7.655,7.6563,8.1427,8.8309,9.5868,8.4896,8.8702,8.8052,8.9983,9.8062,8.8949,7.9856,6.7195,7.9523,8.6692,8.3976,7.8615,7.9096,8.9771,7.0732,7.8455,7.6828,8.0917,8.7832,7.9737,7.8719,8.8293,8.4615,8.7273,9.6182,8.6692,9.3926,8.0682
"ANKDD1A",7.0305,8.1197,7.5834,7.4666,8.0526,8.452,8.7587,7.595,7.3544,8.1263,8.1921,8.1877,7.4001,8.823,7.1972,8.6389,8.5562,8.61,9.001,8.7709,8.5507,8.4546,8.02,9.0817,7.7219,8.5129,7.9762,8.3171,8.0895,7.9502,7.8754,7.8436,8.0284,8.3173,8.3042,8.2008,7.8146,8.6094,8.9139,8.4936,8.6661,8.5295,8.7032,8.9094,8.0444
"SPG21",12.3614,11.8355,11.895,11.7185,12.2463,12.2131,11.7132,11.5562,11.9625,11.362,11.3224,11.8609,12.0861,11.3497,11.5672,11.9491,11.702,11.4394,11.8417,11.7817,11.6569,11.7299,12.0098,11.313,12.0181,11.6637,11.8014,11.7265,11.7631,11.8038,11.5315,12.0181,12.4162,11.7756,12.0243,11.8789,11.6108,11.4222,11.81,11.7907,11.7158,11.5067,11.7287,12.0245,12.3162
"MTFMT",9.2456,8.7142,8.302,8.6243,9.3432,8.5659,8.8276,8.1555,9.2183,8.4249,8.5087,9.1686,8.9516,8.0427,9.5634,8.7082,8.4779,8.5964,8.5733,8.6205,8.7231,8.6092,8.8949,8.3285,9.3711,8.9198,8.4892,8.8426,9.0487,9.1388,8.6523,8.7888,8.5486,8.6518,9.0645,9.3275,8.8925,8.3371,8.5862,8.5858,8.3291,8.405,8.6795,8.6614,8.98
"SLC51B",6.5644,6.2679,6.7768,6.0205,6.9861,6.7898,6.9035,6.2624,7.1052,6.922,6.2358,7.922,9.4563,6.4885,8.4504,7.8332,8.2626,7.8446,7.3251,7.724,8.3974,7.6026,7.4057,6.2355,6.0814,6.2257,6.4045,6.3409,6.1348,6.3591,6.4293,6.602,6.8793,6.2564,6.4781,6.3056,6.2397,6.5782,8.1104,7.9138,7.7915,7.8998,7.3915,7.4216,8.2554
"RASL12",8.2568,8.1681,7.9316,7.701,9.6552,8.4289,9.7178,8.7691,9.3742,10.0729,8.5351,8.6469,10.0181,8.1798,8.1779,9.6919,10.8181,9.9969,9.8012,10.1621,10.8558,10.369,9.8706,8.7428,7.4163,7.8905,8.6538,8.8359,7.915,7.2246,9.3414,8.0343,8.5631,8.3884,8.6149,8.3583,8.5266,9.9325,10.5513,10.674,10.0476,10.1984,9.8691,9.6826,10.9696
"UBAP1L",6.5884,7.6707,6.5641,7.5762,6.5339,7.9654,7.8859,6.9372,7.4954,6.9074,7.1045,7.4396,6.7305,6.8879,7.282,7.4588,7.4885,7.7065,7.9643,7.1397,7.4609,7.5007,7.2967,7.8373,7.4163,7.4673,6.9554,7.0849,7.6077,7.1063,7.1122,7.323,7.3529,7.3088,7.5854,7.4087,7.1434,7.056,7.4453,7.0837,7.5519,7.4885,7.9207,7.8156,6.3436
"PDCD7",9.4136,10.1824,9.3277,9.5415,9.2722,9.1926,9.3948,9.1763,9.673,8.9872,9.5749,9.7918,9.5285,9.232,9.742,9.5654,9.5798,9.5079,9.6827,9.5939,9.6596,9.9007,9.7464,9.3157,9.936,9.4422,9.7525,9.6998,9.7831,9.9317,9.563,10.0991,9.6323,9.4968,9.9584,9.9281,9.6227,9.252,9.7008,9.6962,9.4172,9.55,9.6848,9.4468,9.6076
"CLPX",11.3695,10.5945,10.5497,11.1594,10.6115,11.0208,10.8785,10.3498,11.0913,9.9262,10.2832,10.8044,11.0961,10.4585,11.0757,10.6425,10.3623,10.508,10.5378,10.5412,10.5487,10.32,10.5568,10.0883,10.8559,10.6646,10.6408,10.7548,10.3532,10.7932,10.3011,11.2054,11.2227,10.4343,10.561,11.0425,10.3238,10.6409,10.5864,10.6392,10.3666,10.2977,10.6858,10.4812,10.5531
"CILP",8.4772,9.9565,7.0594,6.668,7.1836,9.6124,8.3476,10.5005,7.5853,9.2338,6.8067,7.7222,7.5181,7.0729,6.5328,6.8822,8.3745,9.4188,8.1952,7.288,7.9698,7.6893,7.4057,10.9743,6.5705,8.8141,10.997,10.1961,9.0097,6.9344,10.1842,6.6531,7.9552,7.5513,9.5116,9.0915,9.2284,11.0687,7.3535,7.9016,7.3338,8.0123,7.5598,6.8277,6.9952
"PARP16",9.5441,9.0792,8.2478,8.2711,9.16,8.9275,8.8471,8.9018,9.3368,8.549,8.7213,9.3939,8.9235,8.6717,9.4155,9.0084,8.89,9.0393,9.0621,8.8221,9.0767,8.8064,8.9715,8.6521,9.4302,8.8834,9.2544,8.9143,8.9171,8.6761,9.0225,9.032,8.4266,8.6081,8.9276,9.9337,8.8868,9.0058,8.9041,8.976,8.5947,8.7316,9.2339,8.7798,8.927
"IGDCC4",7.1698,7.0731,6.6673,6.688,7.605,7.1822,7.4376,7.2559,7.6098,7.1899,7.6647,7.18,7.6185,6.4669,6.7893,7.4125,7.6691,7.7392,7.0287,6.6102,7.1207,6.9458,6.665,8.0276,6.291,7.5359,7.6531,8.4693,7.4335,6.8216,8.0344,7.7734,7.4682,6.8626,8.4481,7.5806,7.5123,7.6018,6.8394,7.2914,6.5135,6.9355,7.0953,7.1693,7.1286
"DPP8",11.1525,10.8176,9.8539,10.6528,9.9382,10.7693,10.4843,10.1746,11.3398,10.4897,10.5534,10.4996,10.7698,10.5859,10.2877,10.677,10.6505,10.5469,10.8435,10.7732,11.0523,11.0452,10.6963,10.1668,10.9015,10.1679,10.2459,10.4409,9.7739,10.7686,10.1613,11.139,10.3509,10.143,10.3868,11.0464,10.5818,10.5299,10.5408,11.0798,10.4245,10.7408,10.857,10.8045,10.7401
"HACD3",12.5514,12.0481,12.1078,12.148,12.6689,11.661,11.5391,11.7091,12.1734,11.8924,12.0426,12.2151,12.4449,12.6977,12.7159,11.7787,11.3938,11.6143,11.6111,11.8286,11.5813,11.5853,11.6869,11.8781,12.2725,11.5786,11.579,11.5454,11.8872,12.1577,11.4742,12.6653,12.5801,11.4689,12.5458,13.073,11.7623,11.0732,11.6828,11.5784,11.3229,11.6161,11.6111,11.6706,12.2877
"INTS14",11.4998,10.9637,10.1619,10.5745,10.9266,10.4258,10.3917,10.2927,10.6599,10.1169,10.4285,10.8217,10.7923,10.2492,11.1607,10.2511,10.1766,10.2918,10.1291,10.2559,10.2276,10.3521,10.4719,9.8591,11.1051,10.1741,10.7769,10.8359,10.4097,11.2666,10.4056,11.1511,10.6453,10.3682,11.0057,11.273,10.5328,10.3562,10.5429,10.3949,10.3084,10.2421,10.2236,10.3039,10.6169
"SLC24A1",9.4919,9.6391,8.6695,8.765,8.1058,9.0551,9.189,8.8225,9.6974,8.7817,8.6175,9.8118,8.6557,9.5942,9.3085,9.3562,9.4041,9.3859,9.6186,9.2274,9.4713,9.5979,9.204,8.3046,9.3319,8.5129,8.7728,9.2191,8.3619,9.0228,8.6932,9.8512,8.3388,8.6301,8.4881,9.5337,8.8402,9.1368,9.5346,9.3039,9.4812,9.2565,9.4634,9.4606,9.1979
"DENND4A",10.786,9.7145,9.36,9.6029,10.1352,10.16,9.7342,9.367,11.1703,10.0035,10.333,10.2985,9.6304,9.3233,9.5763,10.6671,10.4397,10.2388,10.5887,10.3827,10.4168,10.5963,10.654,9.5206,10.0274,9.6609,10.9433,10.4122,10.0919,10.7871,9.9443,10.047,9.546,9.4031,9.9723,10.6516,10.0865,10.6522,10.2487,10.9888,10.4396,10.71,10.4867,10.6382,10.2949
"RAB11A",13.3136,12.4531,12.5514,12.8619,12.7824,12.1227,12.071,11.6872,12.1424,11.6993,12.0493,12.4706,12.6729,11.8498,12.835,12.3078,12.2943,12.0924,12.2839,12.4203,12.6765,12.8011,12.5888,11.7194,13.0214,12.3588,12.6397,12.2394,11.2139,12.7944,11.5988,12.5001,12.6806,11.9567,12.9251,12.7352,12.0406,12.0542,12.7067,12.7541,12.4599,12.4196,12.2822,12.4622,12.886
"MEGF11",6.1864,7.1339,6.013,6.2837,6.4329,6.3485,6.7519,6.4196,7.3087,8.4591,6.7518,10.59,6.2446,6.2007,6.0865,7.5209,7.4803,6.9378,7.2157,7.1274,8.4518,9.1596,7.0703,6.3916,6.176,6.2597,9.4879,6.6157,6.0476,5.9344,6.1848,7.9211,6.2509,6.1864,6.2811,6.334,5.9329,6.4216,8.2549,6.5172,6.9098,8.396,7.4952,8.6371,6.7559
"DIS3L",10.3387,10.4327,9.5966,9.8406,9.6398,9.414,9.6876,9.9542,10.975,9.6196,9.9705,9.9935,10.0837,9.5298,10.2903,10.1039,10.0506,10.1882,10.186,9.9277,10.2039,9.9967,10.0834,9.4668,10.6799,9.623,10.5357,9.7747,10.4097,10.4939,9.7663,10.2472,9.8811,9.6781,9.9637,11.0263,10.309,9.4437,10.136,10.3078,9.9938,9.728,10.3706,9.8966,10.2313
"TIPIN",9.7198,9.3432,8.6732,8.919,9.9303,8.219,8.432,8.127,9.1918,8.4249,9.1827,8.3919,9.0993,8.7166,9.0851,8.7364,8.395,8.5476,8.3121,8.6282,8.2955,8.4153,8.2175,8.2803,9.035,8.8586,8.8592,9.262,8.6033,8.531,8.5799,9.032,9.0403,9.0912,8.6935,9.1841,8.8283,8.7212,8.3517,8.4817,8.0494,8.1916,8.341,8.6266,9.4275
"MAP2K1",12.4133,11.1323,11.3149,12.1698,11.2119,11.1855,10.7197,10.6005,11.1875,11.08,11.3587,11.0262,11.8217,10.4733,11.5715,11.0075,11.1532,10.4495,11.1269,10.9966,11.2974,11.1877,11.4491,10.8053,11.5064,10.9895,11.1938,11.722,10.5119,11.829,10.8626,12.0555,12.2114,11.0509,11.8929,11.8825,11.6421,11.6198,11.0426,11.3135,11.2482,11.3438,10.9939,11.1544,11.2489
"SNAPC5",10.7149,10.4284,9.699,10.5887,10.8888,10.2405,9.6073,9.3124,9.8877,9.8396,9.876,9.886,10.6805,9.4698,10.3812,9.7999,9.8218,9.6661,9.779,10.0404,9.804,9.945,10.1431,9.471,10.5961,9.6046,9.871,10.0942,9.4423,9.9943,9.7682,10.7397,10.1713,9.8375,10.2018,10.6103,9.9079,10.2996,10.0046,10.0242,9.9801,9.9853,9.7489,9.792,10.2703
"RPL4",16.2263,15.0811,14.1659,15.2322,14.5808,14.2395,14.7349,13.7127,14.8846,14.6691,13.7331,14.1024,14.7053,14.6116,15.2316,14.4027,14.525,14.4017,14.0216,14.312,14.0644,14.3374,14.4591,13.7867,14.9062,14.3436,14.9491,14.8571,14.1806,14.4781,13.847,14.9081,16.2951,14.6665,14.7622,14.3031,14.2154,14.3245,14.5584,14.1568,13.9121,14.2093,14.2494,14.0568,14.8248
"ZWILCH",10.6318,9.8687,9.1985,9.5183,9.4468,9.5022,8.9939,9.1089,8.7985,8.4965,10.72,8.5293,10.2169,9.9939,9.5262,8.2631,8.3537,8.5511,8.524,8.2449,8.4962,8.4286,8.288,8.9301,9.9081,9.3634,10.4134,9.8994,9.9935,10.5519,9.5074,11.0775,10.0241,10.1827,9.8516,10.5615,10.0388,9.9594,8.2283,8.6441,8.5538,8.3823,8.5841,8.6231,8.7112
"LCTL",8.1347,7.5927,7.335,7.6107,7.362,7.3888,7.1216,7.1026,6.9875,6.7124,8.1495,6.8252,7.8794,7.7237,7.5149,6.7863,6.8594,6.9118,6.914,6.651,6.7473,6.7203,6.8015,7.1574,7.673,7.5359,8.0978,7.7195,7.8615,8.0807,7.4329,9.4476,7.8698,8.0062,7.6966,8.076,7.6689,8.0797,6.7316,6.8418,6.8369,6.8273,6.8465,6.7496,6.8423
"SMAD6",9.2754,9.7807,9.0018,8.6792,8.5968,8.658,10.4904,8.0829,9.708,9.2018,7.2273,9.5865,9.3761,9.3213,7.9374,11.2082,10.4164,8.6988,10.5358,12.6755,11.6032,11.9828,11.4679,8.9084,8.8663,7.601,7.8423,8.2368,8.3451,7.76,7.8754,9.1692,8.4685,8.6554,8.3375,9.5151,7.8577,8.6803,11.5348,10.4432,10.6571,11.0107,9.969,10.2576,10.4419
"SMAD3",12.2452,10.3295,11.6122,12.2728,10.2475,11.0845,10.8657,11.5588,11.4876,10.6017,11.2544,11.7163,12.082,11.8883,11.9534,11.2896,11.5512,11.5566,11.5951,11.1443,11.8389,11.5077,11.1994,11.4425,13.251,11.8431,11.2108,11.488,11.9525,12.0148,11.492,11.6049,10.4907,12.1413,12.899,12.7946,12.0278,12.0581,11.4677,11.5299,11.148,11.3049,11.5126,11.2219,11.1014
"AAGAB",11.7799,10.8656,10.9293,11.2635,11.6276,10.9548,10.6208,10.476,11.0615,9.5801,10.9218,10.7528,11.5952,10.8494,11.6394,10.1755,10.1996,10.5267,10.252,10.4551,10.1651,10.024,10.5546,10.5277,11.7037,10.6848,10.815,10.4044,10.4593,11.2573,10.6413,11.7476,10.7098,10.7525,11.5426,11.5415,11.1738,10.8976,10.3081,10.429,10.5149,10.281,10.3882,10.227,10.6534
"IQCH",7.0598,7.8194,7.0594,7.3032,7.5171,7.5944,7.7936,7.2269,8.6271,7.1077,7.4691,8.0323,7.1103,7.7497,7.119,7.5799,7.6335,8.9701,6.8674,7.1397,7.3421,7.068,6.6858,6.7927,7.4759,7.0096,7.2857,7.4096,7.399,7.5681,7.0984,8.6351,6.5739,7.1023,7.6046,7.2983,7.2764,7.7265,7.1705,7.3112,8.6556,7.283,7.2478,7.5141,7.2477
"C15orf61",8.8236,8.3874,7.6244,8.3067,9.5803,8.1776,7.9458,7.6306,7.6922,7.9419,8.5545,7.2031,7.7114,7.8126,8.6576,8.2182,8.1699,7.8741,8.1411,8.3476,8.3273,8.3096,8.3997,7.7381,8.7212,7.7218,8.1322,7.8151,8.6312,8.0651,7.9045,7.855,8.3444,8.0678,7.9606,8.6725,8.328,7.7542,8.4281,8.3158,8.0764,8.1105,8.0455,7.9141,8.4694
"MAP2K5",10.0444,9.3599,9.0564,9.1816,8.8784,8.981,9.111,9.0053,8.6271,8.7271,9.113,9.0551,8.9737,9.0939,9.1844,9.4792,9.4258,9.3642,9.2185,9.6735,9.3935,9.2747,9.4438,8.8672,9.7449,8.4764,9.4749,9.2062,9.2221,9.5041,9.2735,9.5729,9.271,9.5434,9.1622,9.9654,9.4488,9.1492,9.7546,9.5096,9.4253,9.4185,9.6404,9.3169,9.5576
"SKOR1",6.3381,6.8009,5.9478,6.2484,5.8664,6.1665,6.1899,6.1992,6.4033,6.5097,8.3943,6.4444,6.1378,6.264,6.396,6.6796,6.4535,6.7401,6.7845,6.6707,6.6017,6.6445,6.6858,6.5409,6.4445,5.8589,6.4321,6.2043,6.2409,5.9966,6.1848,6.117,6.3649,6.6813,6.3535,6.5045,6.1716,6.4216,6.5872,6.3717,6.395,6.7239,6.3095,6.7496,6.2065
"PIAS1",10.4531,10.3463,10.4317,10.8899,10.3457,10.5414,10.8233,10.1881,11.4301,10.4589,11.2239,10.539,10.7768,10.8692,10.8275,11.7011,11.2322,11.3281,11.7149,11.5469,11.7341,11.4396,11.7359,10.2301,10.7783,10.3484,10.7494,10.8881,9.7877,10.7624,10.6516,10.8865,10.7644,11.1079,10.4941,11.1447,10.175,11.3465,11.1487,11.7739,11.2916,11.3637,11.4385,11.1381,11.5072
