"gene","logFC","AveExpr","t","pvalue","padj"
"GENE0430",-0.4438,7.3698,-1.6802,0.1243,0.6295
"GENE0431",0.1116,3.6249,0.2941,0.776,0.9888
"GENE0432",-0.0563,2.1639,-0.1968,0.8498,0.9888
"GENE0433",-0.3161,3.9802,-1.1209,0.2888,0.8648
"GENE0434",0.463,4.1513,1.2708,0.2338,0.808
"GENE0435",0.1774,4.9863,0.714,0.4916,0.9309
"GENE0436",-1.1989,8.9941,-3.4312,0.009481,0.1394
"GENE0437",0.9404,9.3921,2.787,0.02116,0.2474
"GENE0438",0.3526,7.1196,1.206,0.2579,0.8465
"GENE0439",-0.3055,3.356,-0.7145,0.4914,0.9309
"GENE0440",0.2163,5.9318,0.5353,0.6044,0.9745
"GENE0441",0.3232,6.8,1.476,0.1769,0.7355
"GENE0442",0.8285,5.6896,1.9924,0.07432,0.5134
"GENE0443",-0.1132,6.5839,-0.4818,0.6435,0.9793
"GENE0444",-1.8632,3.1276,-7.1154,3.296e-05,0.002126
"GENE0445",-2.9007,1.7215,-8.8426,5.875e-06,0.0007833
"GENE0446",0.1592,9.1626,0.2633,0.7998,0.9888
"GENE0447",-0.301,6.3936,-0.7154,0.4929,0.9309
"GENE0448",0.011,5.5763,0.0199,0.9846,0.9959
"GENE0449",-0.1096,6.1362,-0.4287,0.6804,0.9879
"GENE0450",-0.0263,10.2686,-0.0763,0.9411,0.9908
"GENE0451",-0.4193,6.7833,-0.9807,0.3554,0.8898
"GENE0452",0.0857,9.4149,0.1869,0.856,0.9888
"GENE0453",-0.1766,8.7703,-0.768,0.4602,0.9189
"GENE0454",-0.2617,4.8453,-0.5069,0.6251,0.9745
"GENE0455",0.1092,7.3355,0.3008,0.7698,0.9888
"GENE0456",-0.2476,4.927,-0.4712,0.6527,0.9838
"GENE0457",0.0995,2.7806,0.2549,0.8047,0.9888
"GENE0458",-0.0857,3.5923,-0.1742,0.8656,0.9888
"GENE0459",0.6762,6.2405,1.5414,0.1768,0.7355
"GENE0460",0.095,9.5246,0.5845,0.5751,0.9693
"GENE0461",0.061,6.3033,0.2424,0.8137,0.9888
"GENE0462",-0.3844,4.3258,-1.0921,0.3021,0.8732
"GENE0463",0.1796,6.2812,0.5167,0.6166,0.9745
"GENE0464",0.187,6.538,0.2804,0.787,0.9888
"GENE0465",-0.0271,3.2056,-0.0682,0.947,0.9908
"GENE0466",-0.2709,3.9738,-0.578,0.5821,0.9694
"GENE0467",-0.1277,1.8205,-0.3871,0.7078,0.9879
"GENE0468",0.4175,3.6318,2.4764,0.03283,0.3157
"GENE0469",1.5843,4.9715,3.2469,0.009602,0.1402
"GENE0470",0.3878,5.2449,1.0134,0.336,0.8761
"GENE0471",0.3624,8.5386,0.718,0.49,0.9309
"GENE0472",-0.7892,7.6466,-1.2566,0.245,0.8241
"GENE0473",0.0684,6.2977,0.0989,0.9233,0.9908
"GENE0474",-0.1718,5.087,-0.2431,0.8129,0.9888
"GENE0475",0.3417,6.111,0.8221,0.4317,0.9045
"GENE0476",0.8259,6.9156,1.9628,0.08417,0.531
"GENE0477",0.1058,5.3821,0.1463,0.8869,0.9888
"GENE0478",0.1026,8.2456,0.5864,0.5769,0.9693
"GENE0479",-2.6927,6.8322,-6.0545,0.000131,0.00546
"GENE0480",-0.3384,3.3946,-0.6919,0.5053,0.9416
"GENE0481",-0.108,4.4039,-0.1928,0.8512,0.9888
"GENE0482",0.2572,7.937,0.7434,0.4766,0.9281
"GENE0483",-0.1938,2.3166,-0.2948,0.7745,0.9888
"GENE0484",-0.0808,7.0134,-0.2845,0.7837,0.9888
"GENE0485",0.9742,6.9335,2.9815,0.02081,0.2463
"GENE0486",0.4307,12.2669,1.4172,0.1901,0.7619
"GENE0487",-0.0593,0.2741,-0.3593,0.7272,0.9879
"GENE0488",0.835,4.7037,1.8879,0.08869,0.5496
"GENE0489",0.6837,7.7627,1.2065,0.2574,0.8465
"GENE0490",0.3519,9.4621,0.6255,0.5536,0.9631
"GENE0491",-1.4083,7.1641,-2.1253,0.06027,0.4601
"GENE0492",0.9367,3.2228,2.9903,0.01626,0.2058
"GENE0493",0.1462,10.3487,0.3512,0.7377,0.9888
"GENE0494",0.2973,2.1672,1.1183,0.291,0.8661
"GENE0495",-0.049,3.14,-0.0667,0.9484,0.9908
"GENE0496",-0.304,6.3971,-0.6137,0.5547,0.9631
"GENE0497",0.2367,10.286,0.4848,0.639,0.9778
"GENE0498",1.3147,7.0546,3.7559,0.004562,0.07667
"GENE0499",-0.1483,7.1971,-0.2596,0.8008,0.9888
"GENE0500",0.5671,9.2425,1.9332,0.0823,0.526
"GENE0501",-1.0995,7.4168,-1.5414,0.1561,0.6951
"GENE0502",0.2751,3.6251,0.8516,0.4144,0.9008
"GENE0503",-0.1029,7.3515,-0.2046,0.8431,0.9888
"GENE0504",0.0045,5.8252,0.0073,0.9943,0.9993
"GENE0505",-0.0179,9.5959,-0.0435,0.9664,0.9911
"GENE0506",-0.3106,6.0877,-0.497,0.6299,0.9745
"GENE0507",-0.1512,2.8216,-0.4273,0.6808,0.9879
"GENE0508",-0.0808,7.018,-0.1552,0.8803,0.9888
"GENE0509",0.4313,6.8645,0.8932,0.3932,0.9008
"GENE0510",0.1663,6.1345,0.8226,0.4303,0.904
"GENE0511",0.2434,4.0493,0.958,0.3636,0.8914
"GENE0512",-0.2747,4.864,-0.5887,0.5691,0.9689
"GENE0513",0.572,6.6607,0.7887,0.4561,0.9189
"GENE0514",-0.3926,8.1439,-0.846,0.4178,0.9025
"GENE0515",0.9845,4.715,1.7808,0.106,0.6048
"GENE0516",-0.2274,4.0461,-0.8832,0.3993,0.9008
"GENE0517",0.0423,0.6661,0.1507,0.8835,0.9888
"GENE0518",0.0959,7.0521,0.5057,0.6281,0.9745
"GENE0519",0.7212,6.6292,1.4221,0.1862,0.7586
"GENE0520",0.5722,8.2777,0.9015,0.3901,0.9008
"GENE0521",-0.0751,8.8405,-0.2516,0.8073,0.9888
"GENE0522",-0.3862,5.5836,-1.3367,0.2154,0.7947
"GENE0523",-0.1959,8.663,-0.9171,0.3866,0.8976
"GENE0524",0.0636,5.7821,0.1458,0.8872,0.9888
"GENE0525",0.0459,4.7137,0.3641,0.7291,0.9879
"GENE0526",0.149,4.4891,0.472,0.6485,0.981
"GENE0527",0.0694,5.3689,0.2262,0.8266,0.9888
"GENE0528",0.522,6.4319,1.2714,0.2331,0.808
"GENE0529",0.2605,6.1155,0.7946,0.4458,0.9146
"GENE0530",1.2097,7.0786,2.5734,0.0287,0.2929
"GENE0531",-0.2915,6.4583,-0.6644,0.5226,0.9493
"GENE0532",-0.1039,7.7191,-0.4442,0.6681,0.9861
"GENE0533",0.2635,4.9051,0.718,0.4894,0.9309
"GENE0534",0.2982,9.4964,1.102,0.2963,0.8704
"GENE0535",0.7243,6.8213,1.5757,0.1553,0.6935
"GENE0536",-0.0476,4.1472,-0.1017,0.9215,0.9908
"GENE0537",1.2375,5.8406,4.0481,0.002739,0.05218
"GENE0538",-0.6012,7.1684,-1.846,0.09556,0.5791
"GENE0539",-2.3501,3.5253,-6.4248,0.0002095,0.007619
"GENE0540",-0.1364,7.2255,-0.3219,0.7544,0.9888
"GENE0541",0.2049,6.6234,0.8475,0.4219,0.9033
"GENE0542",-2.1462,7.9815,-5.6712,0.0002893,0.009485
"GENE0543",0.0074,4.8275,0.0209,0.984,0.9959
"GENE0544",-0.6121,6.3484,-1.7258,0.1152,0.6175
"GENE0545",0.1502,5.3687,0.4136,0.6879,0.9879
"GENE0546",0.2591,3.7512,0.6004,0.5673,0.9689
"GENE0547",0.2418,2.2585,1.9646,0.07789,0.5258
"GENE0548",1.0009,6.1105,2.0544,0.0747,0.5134
"GENE0549",-0.0815,7.4545,-0.3838,0.7113,0.9879
"GENE0550",-0.1572,6.9909,-0.2185,0.8317,0.9888
"GENE0551",0.0147,3.2267,0.07,0.9456,0.9908
"GENE0552",1.3041,4.1237,4.3566,0.002274,0.04554
"GENE0553",-0.3148,3.4884,-1.0448,0.33,0.8739
"GENE0554",-0.0657,4.5366,-0.3222,0.7539,0.9888
"GENE0555",-0.3227,6.7366,-0.9321,0.3733,0.894
"GENE0556",0.2485,7.1774,0.8466,0.4172,0.902
"GENE0557",0.2568,4.7666,1.2968,0.2268,0.8033
"GENE0558",-0.2234,0.2748,-1.3881,0.1954,0.7679
"GENE0559",-0.0106,7.728,-0.0226,0.9825,0.9959
"GENE0560",0.4647,7.1227,1.6317,0.1338,0.6592
"GENE0561",0.6294,4.9743,0.9157,0.386,0.8976
"GENE0562",-0.7106,3.8532,-1.5765,0.1546,0.6935
"GENE0563",0.0427,5.4576,0.1008,0.9218,0.9908
"GENE0564",0.0779,6.4438,0.1606,0.8763,0.9888
"GENE0565",0.0601,7.4556,0.1842,0.8575,0.9888
"GENE0566",0.0231,8.5028,0.0774,0.9403,0.9908
"GENE0567",-0.3945,4.4549,-0.7617,0.4678,0.9225
"GENE0568",-0.2558,7.1599,-0.6303,0.5426,0.957
"GENE0569",2.6619,10.2121,18.6121,2.408e-08,1.605e-05
"GENE0570",-0.0154,4.1962,-0.0862,0.9333,0.9908
"GENE0571",-0.0341,5.5522,-0.1178,0.909,0.9908
"GENE0572",0.0248,2.7852,0.0426,0.9669,0.9911
"GENE0573",-0.0016,6.5321,-0.0054,0.9958,0.9993
"GENE0574",0.1316,5.1288,0.3566,0.729,0.9879
"GENE0575",0.5067,4.2563,1.0123,0.3433,0.8845
"GENE0576",-0.2553,4.5541,-0.7542,0.4739,0.9273
"GENE0577",-0.8107,6.8929,-1.368,0.2032,0.7864
"GENE0578",-0.7659,1.5258,-1.7234,0.1172,0.6178
"GENE0579",-0.0615,5.4501,-0.0979,0.924,0.9908
"GENE0580",-0.0888,3.7358,-0.3808,0.7116,0.9879
"GENE0581",0.0112,3.5584,0.025,0.9806,0.9954
"GENE0582",-0.4028,6.9314,-2.5163,0.03067,0.3057
"GENE0583",0.0135,6.4884,0.0579,0.955,0.9908
"GENE0584",0.2739,5.7395,1.0845,0.3068,0.8732
"GENE0585",-0.6095,7.0763,-1.1928,0.2788,0.8605
"GENE0586",-0.0404,5.0177,-0.1299,0.8992,0.9895
"GENE0587",-3.3268,0.181,-9.3967,3.205e-06,0.0006047
"GENE0588",0.6369,8.864,1.72,0.1174,0.6178
"GENE0589",0.1002,5.4686,0.3771,0.7149,0.9879
"GENE0590",0.0106,5.5359,0.0435,0.9662,0.9911
"GENE0591",-0.0529,6.2848,-0.2542,0.8045,0.9888
"GENE0592",-0.4451,7.6305,-0.7592,0.4694,0.9231
"GENE0593",-0.4478,7.1429,-0.8593,0.4112,0.9008
"GENE0594",0.1428,7.5615,0.4968,0.6304,0.9745
"GENE0595",0.4179,6.6106,1.1325,0.286,0.8617
"GENE0596",0.0391,4.6834,0.2687,0.7936,0.9888
"GENE0597",-0.151,5.462,-0.6529,0.5292,0.9504
"GENE0598",-0.1494,7.8396,-0.4156,0.6866,0.9879
"GENE0599",0.4425,4.9317,0.819,0.4319,0.9045
"GENE0600",-0.8561,4.5044,-1.7396,0.1216,0.6261
"GENE0601",-0.5543,7.0593,-1.5506,0.1522,0.6916
"GENE0602",-0.0597,7.444,-0.0937,0.9277,0.9908
"GENE0603",0.6127,2.6716,1.5966,0.1423,0.6728
"GENE0604",-1.0663,7.3251,-1.657,0.1335,0.6592
"GENE0605",0.1294,5.823,0.508,0.623,0.9745
"GENE0606",-0.8014,5.9084,-1.4584,0.1756,0.7346
"GENE0607",-0.3905,8.0806,-0.9013,0.3975,0.9008
"GENE0608",-0.2242,8.6189,-0.8844,0.3985,0.9008
"GENE0609",-1.6595,3.7061,-5.2603,0.0003828,0.01126
"GENE0610",2.5113,8.9143,7.4342,2.628e-05,0.001926
"GENE0611",-1.0865,4.9396,-1.5288,0.1653,0.7142
"GENE0612",2.7645,7.5626,11.2976,9.098e-06,0.0009078
"GENE0613",0.2814,7.3727,1.2831,0.232,0.8055
"GENE0614",-0.2147,6.3797,-0.4121,0.689,0.9879
"GENE0615",1.3354,3.8397,2.6449,0.02455,0.2713
"GENE0616",-0.1152,4.9004,-0.2854,0.7812,0.9888
"GENE0617",0.0486,8.4578,0.1612,0.8754,0.9888
"GENE0618",-0.0317,6.1541,-0.1606,0.876,0.9888
"GENE0619",1.4591,5.0355,2.4927,0.03686,0.343
"GENE0620",0.506,4.6543,3.1548,0.01101,0.1525
"GENE0621",1.1808,8.1901,2.1627,0.0567,0.4448
"GENE0622",0.0866,7.0278,0.1108,0.914,0.9908
"GENE0623",-0.1598,4.6164,-0.3312,0.7479,0.9888
"GENE0624",-0.2304,5.9606,-1.2025,0.2582,0.8465
"GENE0625",-1.2137,6.1664,-2.2446,0.05711,0.4448
"GENE0626",0.8863,9.2323,2.7168,0.02168,0.2506
"GENE0627",-0.167,4.3736,-0.2973,0.7725,0.9888
"GENE0628",0.2051,4.5652,0.6155,0.552,0.9631
"GENE0629",0.0028,8.2808,0.0115,0.9911,0.9987
"GENE0630",0.1611,5.1274,0.4223,0.6822,0.9879
"GENE0631",0.2185,8.7837,0.4061,0.695,0.9879
"GENE0632",-0.3469,8.2885,-1.2724,0.2383,0.8184
"GENE0633",-0.1888,2.503,-0.2319,0.8244,0.9888
"GENE0634",0.1437,6.7427,0.5152,0.6177,0.9745
"GENE0635",0.3101,3.1526,0.8591,0.414,0.9008
"GENE0636",-0.1668,2.812,-0.4917,0.6337,0.9745
"GENE0637",-0.1777,5.7112,-0.3359,0.7439,0.9888
"GENE0638",-0.0577,5.5918,-0.1013,0.9214,0.9908
"GENE0639",0.218,5.9374,0.96,0.3598,0.8914
"GENE0640",-0.1352,8.3063,-0.5013,0.6271,0.9745
"GENE0641",0.0731,6.5359,0.5306,0.6083,0.9745
"GENE0642",-0.127,4.4704,-0.5921,0.5682,0.9689
"GENE0643",-0.386,6.3779,-0.8548,0.4153,0.9008
"GENE0644",0.4014,4.9,0.7486,0.4713,0.9252
"GENE0645",-0.3284,5.9037,-1.19,0.2628,0.8504
"GENE0646",0.0224,3.342,0.0853,0.9339,0.9908
"GENE0647",-1.0428,4.9588,-2.5714,0.02798,0.2886
"GENE0648",0.3149,6.832,0.4669,0.6517,0.983
"GENE0649",-0.0178,4.8183,-0.0357,0.9726,0.9922
"GENE0650",0.0789,6.1424,0.138,0.893,0.9895
"GENE0651",0.0675,4.6047,0.2358,0.8185,0.9888
"GENE0652",-0.0698,4.7608,-0.2392,0.8162,0.9888
"GENE0653",-0.0512,5.3724,-0.2034,0.8429,0.9888
"GENE0654",-0.8128,5.883,-1.3883,0.1953,0.7679
"GENE0655",0.0709,5.2498,0.1383,0.8928,0.9895
"GENE0656",-0.3805,6.4491,-0.8246,0.4351,0.9064
"GENE0657",0.3617,8.1455,1.1035,0.2992,0.8732
"GENE0658",-2.356,4.3205,-5.2125,0.001501,0.03229
"GENE0659",-0.1643,5.8979,-0.3937,0.7023,0.9879
"GENE0660",0.7511,7.3748,1.9318,0.08223,0.526
"GENE0661",-0.3907,3.9243,-0.9235,0.3775,0.8942
"GENE0662",0.055,7.4054,0.1719,0.8671,0.9888
"GENE0663",0.3747,4.8801,1.2244,0.265,0.8504
"GENE0664",1.1429,4.1197,2.0166,0.07145,0.5049
"GENE0665",-0.4212,2.4096,-2.1415,0.063,0.4772
"GENE0666",0.052,4.4808,0.18,0.8617,0.9888
"GENE0667",-0.2337,3.1412,-0.5016,0.6273,0.9745
"GENE0668",0.2882,3.8589,1.3328,0.2122,0.7904
"GENE0669",0.035,8.8748,0.0651,0.9496,0.9908
"GENE0670",-0.7177,3.8803,-1.2272,0.2515,0.8412
"GENE0671",0.0219,8.0984,0.0853,0.9338,0.9908
"GENE0672",0.3155,7.158,0.6297,0.5462,0.9586
"GENE0673",-0.0391,4.6158,-0.1206,0.9069,0.9908
"GENE0674",0.5777,4.8255,2.3398,0.04227,0.3842
"GENE0675",0.0833,5.2549,0.25,0.8089,0.9888
"GENE0676",-0.3354,6.1063,-0.5015,0.6285,0.9745
"GENE0677",0.2212,5.0724,0.3546,0.7327,0.9888
"GENE0678",-0.2418,7.6847,-0.9065,0.386,0.8976
"GENE0679",-0.1471,5.3028,-0.3374,0.7429,0.9888
"GENE0680",-0.0773,1.2632,-0.129,0.9002,0.9895
"GENE0681",0.0462,5.7807,0.2043,0.8431,0.9888
"GENE0682",1.1075,2.6588,2.6942,0.02267,0.2548
"GENE0683",0.2934,8.3693,1.1457,0.2808,0.8617
"GENE0684",0.0155,4.7342,0.0682,0.9471,0.9908
"GENE0685",0.0535,3.603,0.1859,0.8584,0.9888
"GENE0686",-0.3621,4.602,-2.1896,0.05558,0.4414
"GENE0687",-0.6038,7.2103,-1.2408,0.2625,0.8504
"GENE0688",-0.3146,1.918,-1.1069,0.2961,0.8704
"GENE0689",-0.2298,6.6762,-0.4499,0.6624,0.9861
"GENE0690",-0.1819,4.2105,-0.4078,0.6968,0.9879
"GENE0691",-0.171,6.1451,-0.3387,0.7427,0.9888
"GENE0692",0.487,7.6543,0.9633,0.3601,0.8914
"GENE0693",-0.303,7.1665,-1.0535,0.3223,0.8739
"GENE0694",0.3352,8.6307,1.254,0.24,0.8206
"GENE0695",-0.7759,5.8419,-1.1911,0.2612,0.8504
"GENE0696",0.0806,4.6841,0.2934,0.7763,0.9888
"GENE0697",0.7486,10.5413,1.8311,0.1145,0.617
"GENE0698",-0.5058,6.038,-0.7495,0.4717,0.9252
"GENE0699",-0.276,7.6311,-0.6884,0.5075,0.9416
"GENE0700",0.9962,7.921,2.1059,0.0652,0.483
"GENE0701",1.4431,7.5639,2.8018,0.0262,0.2817
"GENE0702",-2.8628,7.4487,-6.28,9.185e-05,0.004272
"GENE0703",0.8296,5.9816,2.7303,0.0336,0.3216
"GENE0704",-0.307,3.3097,-0.5469,0.5995,0.9745
"GENE0705",-0.0294,5.4754,-0.1229,0.9047,0.9908
"GENE0706",-0.4117,5.176,-0.7675,0.4607,0.9189
"GENE0707",-0.3782,6.8825,-0.9529,0.3645,0.8914
"GENE0708",0.0694,3.5636,0.1682,0.8698,0.9888
"GENE0709",0.1399,6.8667,0.4664,0.6512,0.9829
"GENE0710",0.4157,4.0255,1.3568,0.21,0.7895
"GENE0711",0.2528,9.4949,0.5231,0.6124,0.9745
"GENE0712",0.2423,8.8177,0.8838,0.3976,0.9008
"GENE0713",0.2732,5.0414,0.8818,0.4008,0.9008
"GENE0714",-0.3825,6.0612,-1.0832,0.3048,0.8732
"GENE0715",0.4076,5.1163,0.9432,0.3689,0.894
"GENE0716",0.3046,3.2207,0.8475,0.4199,0.903
"GENE0717",-0.2834,0.272,-0.7447,0.4745,0.9277
"GENE0718",0.4869,6.2922,1.1195,0.294,0.8699
"GENE0719",-0.2768,6.1339,-0.7543,0.4764,0.9281
"GENE0720",-1.0268,8.7453,-6.4542,0.0001221,0.005307
"GENE0721",0.4646,2.0715,1.0411,0.3332,0.8739
"GENE0722",0.0146,4.604,0.0996,0.9228,0.9908
"GENE0723",-0.2394,7.6999,-0.6389,0.5424,0.957
"GENE0724",0.9234,7.037,2.0911,0.06399,0.483
"GENE0725",0.0958,5.962,0.2381,0.8175,0.9888
"GENE0726",0.3386,5.4343,0.6734,0.5163,0.9471
"GENE0727",0.1168,6.2738,0.4468,0.6652,0.9861
"GENE0728",-0.2356,5.4942,-0.7092,0.5018,0.9407
"GENE0729",0.1055,6.2465,0.5113,0.6263,0.9745
"GENE0730",0.3493,4.7439,0.9293,0.3752,0.894
"GENE0731",2.1968,9.8059,4.7013,0.001354,0.03043
"GENE0732",-0.4148,7.7085,-0.8047,0.4398,0.9105
"GENE0733",0.6803,8.0621,1.5083,0.1628,0.7078
"GENE0734",0.4926,5.5095,1.6455,0.1439,0.675
"GENE0735",-0.0766,5.3441,-0.2165,0.8345,0.9888
"GENE0736",0.3545,5.5285,0.5971,0.5646,0.9689
"GENE0737",-0.0378,8.2951,-0.0672,0.9478,0.9908
"GENE0738",0.4015,4.7898,1.7826,0.1051,0.6048
"GENE0739",-0.1273,6.2377,-0.3012,0.7695,0.9888
"GENE0740",0.1968,6.9718,0.6311,0.5446,0.9586
"GENE0741",1.1031,7.8697,6.0583,0.0005569,0.01466
"GENE0742",0.1492,5.2833,0.7627,0.4686,0.9225
"GENE0743",-0.2106,10.5777,-0.5935,0.5672,0.9689
"GENE0744",-0.9774,3.9963,-1.5724,0.1603,0.7015
"GENE0745",-0.7503,3.3441,-4.532,0.001315,0.02988
"GENE0746",-0.1131,5.9504,-0.2416,0.8166,0.9888
"GENE0747",-0.1488,9.6582,-0.3151,0.7592,0.9888
"GENE0748",0.5019,6.4366,1.3114,0.221,0.8019
"GENE0749",0.193,6.2426,0.2327,0.8223,0.9888
"GENE0750",1.3176,8.3994,5.242,0.0006388,0.01617
"GENE0751",-0.2,5.4307,-1.2453,0.2432,0.8235
"GENE0752",-0.6507,6.113,-1.5746,0.1466,0.68
"GENE0753",-0.5185,8.2375,-1.6173,0.1383,0.6728
"GENE0754",-0.4973,6.3025,-1.2557,0.239,0.8184
"GENE0755",-0.4561,4.806,-1.3371,0.2229,0.8019
"GENE0756",0.0241,6.806,0.0868,0.9326,0.9908
"GENE0757",-0.1661,3.7487,-0.3273,0.7515,0.9888
"GENE0758",-0.4043,3.2594,-2.7044,0.02239,0.2544
"GENE0759",-1.171,5.807,-1.8361,0.09662,0.5813
"GENE0760",-0.7058,3.6804,-1.7031,0.1199,0.6227
"GENE0761",-0.9265,6.7365,-1.7824,0.1089,0.6048
"GENE0762",-0.0945,6.1066,-0.2139,0.8356,0.9888
"GENE0763",-0.4748,4.182,-1.757,0.1129,0.6153
"GENE0764",0.06,9.1871,0.1784,0.862,0.9888
"GENE0765",-0.3874,5.6764,-0.4108,0.6901,0.9879
"GENE0766",0.157,8.6541,0.8168,0.4365,0.9085
"GENE0767",-0.5242,5.6107,-1.5818,0.148,0.6837
"GENE0768",0.5407,5.5754,1.1569,0.2819,0.8617
"GENE0769",-0.4868,6.5083,-2.7723,0.02226,0.2544
"GENE0770",-0.0798,8.0736,-0.355,0.7303,0.9879
"GENE0771",-0.4422,11.7892,-0.7713,0.4587,0.9189
"GENE0772",3.211,5.1283,20.9722,1.38e-09,2.76e-06
"GENE0773",0.3048,5.8025,0.9806,0.3587,0.8911
"GENE0774",-1.2141,8.1964,-2.5779,0.02752,0.2886
"GENE0775",0.0305,6.3149,0.0862,0.9331,0.9908
"GENE0776",-0.0513,5.3033,-0.1402,0.8913,0.9895
"GENE0777",0.546,3.4503,1.2891,0.2267,0.8033
"GENE0778",0.1327,5.5167,0.4144,0.6874,0.9879
"GENE0779",-0.0434,5.3795,-0.133,0.897,0.9895
"GENE0780",0.2754,6.0021,0.7276,0.4864,0.9309
"GENE0781",-0.4589,9.0982,-1.3485,0.2086,0.7895
"GENE0782",-0.4139,4.9831,-2.3173,0.05054,0.416
"GENE0783",-0.1626,3.1,-0.3736,0.7183,0.9879
"GENE0784",-0.0034,6.7537,-0.014,0.9892,0.9979
"GENE0785",1.9904,7.5707,3.4833,0.01049,0.1481
"GENE0786",0.0185,5.5283,0.1114,0.9135,0.9908
"GENE0787",0.2719,7.4478,0.6538,0.5281,0.9504
"GENE0788",0.3332,0.4964,0.8397,0.4235,0.9033
"GENE0789",-0.6816,4.67,-2.4012,0.04962,0.4118
"GENE0790",0.8707,5.5732,1.5006,0.1653,0.7142
"GENE0791",-1.5236,6.5596,-1.9782,0.09146,0.5611
"GENE0792",0.2831,5.7329,0.4425,0.6677,0.9861
"GENE0793",0.5862,4.1368,1.7869,0.109,0.6048
"GENE0794",-0.025,6.7475,-0.0471,0.964,0.9911
"GENE0795",0.2129,6.3944,0.5408,0.602,0.9745
"GENE0796",0.2564,6.0784,0.5377,0.6027,0.9745
"GENE0797",0.6103,8.196,1.9527,0.08884,0.5496
"GENE0798",-1.4435,3.5341,-2.3527,0.04443,0.395
"GENE0799",0.0714,3.1975,0.4987,0.6305,0.9745
"GENE0800",-0.3961,3.4547,-0.4767,0.6455,0.9793
"GENE0801",0.055,3.8823,0.2318,0.8217,0.9888
"GENE0802",0.553,4.0172,1.5552,0.1526,0.6922
"GENE0803",0.056,6.0229,0.196,0.8485,0.9888
"GENE0804",1.8396,11.1431,4.0617,0.006719,0.1067
"GENE0805",-0.0314,5.8093,-0.0572,0.9557,0.9908
"GENE0806",0.6894,8.0655,1.024,0.3301,0.8739
"GENE0807",0.4501,4.593,0.6063,0.5581,0.9649
"GENE0808",-2.878,3.8104,-10.1711,1.507e-06,0.0003768
"GENE0809",1.3459,7.6821,2.6306,0.02523,0.2772
"GENE0810",-0.4581,5.4746,-1.146,0.2887,0.8648
"GENE0811",0.2255,7.0632,0.8678,0.4111,0.9008
"GENE0812",-0.5597,7.6498,-1.9505,0.08006,0.526
"GENE0813",0.4813,4.4295,0.9877,0.3585,0.8911
"GENE0814",0.0539,4.5504,0.2672,0.7948,0.9888
"GENE0815",0.4257,10.7566,2.1288,0.05918,0.4552
"GENE0816",0.1524,5.7267,0.65,0.5326,0.953
"GENE0817",-0.0369,5.9074,-0.107,0.9173,0.9908
"GENE0818",0.3175,6.3459,0.7551,0.4775,0.9287
"GENE0819",-0.2,4.8268,-1.1784,0.2663,0.8505
"GENE0820",0.3408,4.2103,1.2079,0.2602,0.8489
"GENE0821",-0.0168,3.5229,-0.0681,0.9471,0.9908
"GENE0822",-0.1003,7.624,-0.1505,0.8841,0.9888
"GENE0823",0.0801,3.9271,0.2353,0.8205,0.9888
"GENE0824",3.4439,9.0984,14.0366,9.788e-08,3.915e-05
"GENE0825",0.1671,8.9571,0.3455,0.7375,0.9888
"GENE0826",-0.1983,8.3513,-0.5398,0.6036,0.9745
"GENE0827",-0.106,5.7087,-0.3035,0.7682,0.9888
"GENE0828",0.1577,4.6147,0.379,0.7126,0.9879
"GENE0829",0.8171,4.2433,1.5548,0.1532,0.6933
"GENE0830",1.0285,6.6365,3.216,0.009759,0.1414
"GENE0831",-0.4149,5.8135,-0.9255,0.3785,0.8947
"GENE0832",0.0522,6.5117,0.1725,0.8667,0.9888
"GENE0833",-0.3612,4.309,-1.3268,0.2184,0.8015
"GENE0834",-0.7563,6.3775,-1.9319,0.08341,0.5296
"GENE0835",-0.2774,7.6459,-1.3049,0.2299,0.8037
"GENE0836",-0.6554,8.3209,-1.5214,0.1595,0.6994
"GENE0837",0.154,10.4956,0.6724,0.5263,0.9504
"GENE0838",-0.0725,6.2947,-0.2828,0.7831,0.9888
"GENE0839",0.296,4.765,0.8298,0.4262,0.9033
"GENE0840",-0.2759,5.7134,-0.9449,0.3677,0.8935
"GENE0841",0.3731,2.606,1.0211,0.3323,0.8739
"GENE0842",-0.4681,6.4668,-1.2414,0.2494,0.8354
"GENE0843",-0.0736,5.0769,-0.1229,0.9046,0.9908
"GENE0844",0.1454,6.832,0.5558,0.5909,0.9745
"GENE0845",-0.0262,5.5607,-0.0597,0.9538,0.9908
"GENE0846",0.0689,3.2082,0.2055,0.842,0.9888
"GENE0847",-0.0078,6.0034,-0.0245,0.981,0.9954
"GENE0848",-1.4935,2.5431,-6.7468,0.0002372,0.008179
"GENE0849",0.3718,7.5774,1.0077,0.3396,0.8823
"GENE0850",0.5959,1.6631,0.7965,0.4508,0.9154
"GENE0851",0.0015,5.8888,0.0025,0.9981,0.9996
"GENE0852",-0.637,7.0909,-1.0342,0.3257,0.8739
"GENE0853",-1.0313,2.7811,-3.3007,0.01229,0.1683
"GENE0854",0.1151,9.0804,0.18,0.8622,0.9888
"GENE0855",0.264,4.217,0.8712,0.4051,0.9008
"GENE0856",-1.787,4.1324,-6.9287,0.0001965,0.007414
"GENE0857",0.7782,6.3106,1.9017,0.08952,0.5509
"GENE0858",0.7741,5.1994,1.266,0.2523,0.8418
