"gene","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12"
"GENE0507",3.5537,2.6561,2.9167,3.0088,2.9422,2.3056,3.2212,3.1786,2.1365,3.1883,1.4673,3.2839
"GENE0508",6.1204,7.616,6.3284,7.0024,7.5534,7.7297,7.9393,7.6902,6.6497,7.4209,4.9937,7.1718
"GENE0509",8.0651,6.6449,6.9141,5.5717,5.7915,6.9057,6.5475,7.8973,7.2785,5.8011,7.5607,7.3956
"GENE0510",5.7193,5.6969,6.2117,6.541,6.1709,5.9686,6.5953,6.4781,6.0731,5.7868,5.8094,6.5633
"GENE0511",4.4231,3.7718,3.8607,3.3965,4.1656,3.9478,4.4473,4.7431,3.5402,4.6741,3.8809,3.7405
"GENE0512",4.4779,6.0155,3.6959,5.5931,4.8999,5.3257,5.3131,4.3905,4.6425,4.6907,3.5245,5.7984
"GENE0513",5.6303,6.5422,6.1828,5.7344,6.4713,7.6871,5.8885,5.971,5.457,9.4557,6.4745,8.4336
"GENE0514",9.3308,7.2463,7.5622,9.2283,8.035,8.6385,8.6384,7.7691,8.6145,6.6585,8.2076,7.7975
"GENE0515",6.2171,3.6337,3.2846,4.1539,3.9464,4.1006,4.4002,5.8652,5.2939,6.4917,5.0319,4.1604
"GENE0516",4.6883,4.2976,4.2067,4.485,3.2472,4.034,4.0965,4.1311,4.4,3.586,3.3649,4.0159
"GENE0517",1.0262,0.9086,0.7565,0.9177,0.222,0.0385,0.1737,0.4074,1.6665,0.9294,0.6507,0.2958
"GENE0518",7.4539,6.7567,7.0241,6.3024,7.2246,7.2634,7.2238,7.1282,6.9949,7.2132,7.2979,6.7426
"GENE0519",7.1026,5.4863,7.0983,6.0549,5.2375,6.632,7.377,6.3375,7.214,6.5153,5.9256,8.5692
"GENE0520",8.5146,8.8496,7.3729,8.6993,8.0977,6.4152,10.0641,8.24,9.3159,6.3941,8.5432,8.8254
"GENE0521",8.9681,9.9887,8.3364,8.7006,8.322,8.9527,8.8927,8.4386,8.4486,9.5152,8.8427,8.6801
"GENE0522",5.2472,6.0948,5.5679,6.1274,6.1339,5.4889,5.7036,5.2793,6.1543,5.771,4.7337,4.7011
"GENE0523",8.8464,8.9907,8.2947,8.8196,8.6736,8.9405,7.8715,9.0576,8.9195,8.852,8.2476,8.4421
"GENE0524",5.2803,5.3806,7.1007,5.3365,6.5129,4.891,6.4243,5.3132,6.3073,5.8814,6.1633,4.794
"GENE0525",4.7002,4.6665,4.5758,4.7588,4.6571,4.786,4.63,5.2788,4.7784,4.371,4.6584,4.7032
"GENE0526",4.3838,3.8422,5.1071,4.6519,4.1439,4.3589,4.5644,4.7629,3.3407,4.8896,4.6244,5.1997
"GENE0527",5.8808,4.6092,6.3208,4.898,5.0315,5.265,5.7657,5.3379,5.3353,5.703,4.7071,5.573
"GENE0528",5.2434,6.4428,6.6375,6.5473,6.9826,5.1718,6.5232,6.5432,6.2845,6.3997,8.0034,6.4033
"GENE0529",6.6898,6.2707,4.8954,5.8146,6.3009,5.94,6.412,5.8142,5.7841,6.5135,7.0768,5.8738
"GENE0530",7.0008,7.2832,5.2182,7.2237,6.6151,5.5015,7.715,6.4988,7.5156,8.709,8.0104,7.6519
"GENE0531",6.1683,5.7942,6.004,7.6843,7.7046,6.2686,6.0655,5.7342,7.3577,6.5114,6.5837,5.6225
"GENE0532",7.4598,7.4041,8.0407,7.7012,8.1459,7.8742,7.9475,6.7767,7.9505,7.634,8.132,7.562
"GENE0533",4.7467,4.4023,4.8914,4.2504,5.9058,4.4432,5.9564,4.6437,5.6911,4.7239,4.2028,5.0029
"GENE0534",8.5298,9.8346,9.3691,9.6764,9.1235,9.5504,9.3124,9.6409,9.0774,10.216,9.4419,10.1847
"GENE0535",5.7815,6.4421,6.2013,6.2428,6.7536,7.3336,6.9373,6.3267,8.8331,7.6928,6.1162,7.1947
"GENE0536",3.6862,4.9628,3.1608,5.5696,4.5148,3.1315,4.2486,4.5298,4.6089,4.4869,3.523,3.3433
"GENE0537",5.7074,4.9112,5.7929,5.2843,4.7434,4.8915,7.0411,5.3886,6.5,6.5317,6.3003,6.9944
"GENE0538",7.166,8.2228,7.245,7.9051,7.748,6.5269,6.3277,6.6917,7.6439,6.3698,7.2408,6.9329
"GENE0539",4.8588,4.5689,4.6291,4.6347,5.4371,4.0738,2.7766,0.8306,2.8357,2.4242,2.8929,2.3419
"GENE0540",5.957,7.3794,7.1832,8.4276,7.2657,7.5492,6.9627,8.266,6.3732,7.5665,6.7534,7.0217
"GENE0541",6.1283,6.3159,6.818,6.8001,6.3719,6.692,6.2227,6.7126,7.6989,6.6586,6.702,6.3603
"GENE0542",8.5909,9.0711,7.8397,9.6813,9.8812,9.2632,6.5069,7.8437,7.2295,6.5064,6.8851,6.4788
"GENE0543",4.1459,5.4731,4.4228,5.2052,3.848,5.8476,5.104,4.5264,4.5196,5.3115,4.5501,4.9755
"GENE0544",6.4162,7.0238,5.9335,6.3817,6.5199,7.6515,6.0955,6.9239,5.1296,5.8937,6.5125,5.699
"GENE0545",5.2044,5.3211,4.8045,5.3683,4.659,6.4042,5.3874,6.3633,5.4198,5.5074,4.3575,5.6272
"GENE0546",3.7131,3.3609,4.0261,2.966,4.1283,3.5358,4.7605,3.0331,4.7981,3.6475,4.5239,2.5213
"GENE0547",2.4117,1.9187,2.0003,1.959,2.3886,2.1471,2.1427,2.5371,2.1859,2.6267,2.5298,2.2544
"GENE0548",7.3033,5.2404,6.3892,5.3785,4.7484,4.6005,5.7684,6.7601,6.953,7.1676,6.0012,7.0151
"GENE0549",7.8389,7.1893,7.4371,7.5218,7.2601,7.7243,8.1162,7.1428,7.6494,6.9745,6.9932,7.6065
"GENE0550",7.3854,6.1154,7.9509,8.8223,4.8573,7.2861,7.8226,8.2775,6.2121,7.4567,5.8062,5.8987
"GENE0551",3.0721,2.8387,2.9703,3.2136,3.5219,3.6997,3.4475,3.1172,3.7073,2.6022,3.0601,3.4701
"GENE0552",4.1365,3.2504,3.6876,3.3943,3.2304,3.1307,5.6726,4.7065,5.2214,4.7125,4.507,3.8344
"GENE0553",4.1162,3.6333,2.8023,4.4492,3.9622,2.9118,3.215,3.6458,3.7015,2.8322,3.3485,3.2431
"GENE0554",4.9118,4.9649,4.601,4.5444,4.0446,4.3502,4.1526,4.6666,4.1333,4.9122,4.2763,4.8817
"GENE0555",7.759,7.4192,6.9754,6.2993,6.5611,6.3736,6.2951,7.0859,6.4553,7.0387,7.0288,5.5475
"GENE0556",6.6157,6.6759,6.7145,8.0016,7.0355,7.2756,7.1687,7.9454,6.8762,7.8214,7.2445,6.7535
"GENE0557",4.1947,4.3658,4.7065,5.2632,4.8878,4.4114,4.8679,5.0794,4.7224,4.4302,5.1534,5.1169
"GENE0558",-0.0429,0.7366,0.4164,0.4156,0.1627,0.6308,0.4135,0.1767,0.2567,-0.3586,0.2704,0.2201
"GENE0559",8.0017,6.8006,8.3453,8.0264,7.3643,7.8613,8.3632,6.9291,7.4523,9.1026,8.1164,6.3727
"GENE0560",6.1551,6.9887,7.5832,6.5919,6.8594,7.1635,7.08,7.9799,7.6968,6.7073,7.6762,6.9902
"GENE0561",5.8632,4.3198,3.9975,5.3089,3.5317,4.9364,6.0529,5.5339,7.3807,4.7855,3.0533,4.9276
"GENE0562",4.6914,4.7417,4.0718,3.5012,3.6908,4.5538,5.0089,4.2771,2.6305,3.1918,2.545,3.3339
"GENE0563",5.3923,5.2138,5.2336,6.5233,4.1648,6.0901,5.8731,5.2442,5.8158,4.3388,6.1394,5.4626
"GENE0564",5.0271,5.727,6.2351,7.8773,6.3748,7.1878,6.1526,5.8893,7.0886,7.3657,6.4456,5.9547
"GENE0565",7.3116,6.9877,7.375,7.3304,7.0267,8.5215,6.559,7.1454,7.7916,7.5186,8.193,7.7061
"GENE0566",9.01,7.7921,9.3105,8.34,8.7476,7.7474,8.5193,8.3239,9.0653,8.2232,8.7756,8.1792
"GENE0567",5.8681,4.7478,3.4282,5.1388,3.2291,5.5009,4.3056,5.2444,4.0279,3.4789,4.7159,3.7731
"GENE0568",8.2428,7.0125,7.6595,6.96,7.649,6.203,6.2334,6.3965,6.9012,6.994,7.6643,8.0025
"GENE0569",8.6704,8.5734,9.3753,8.8995,8.7447,9.0232,11.7295,11.6722,11.4184,11.2107,11.5698,11.6576
"GENE0570",3.8562,3.7885,4.3883,4.5395,3.9885,4.6623,4.2191,3.9522,4.3853,4.5068,3.9409,4.1266
"GENE0571",6.2725,6.1163,4.6746,5.6507,5.1107,5.5908,5.9497,5.5587,5.1909,5.7611,5.7651,4.9856
"GENE0572",3.6348,3.1471,2.7508,3.7164,0.8893,2.4984,2.1888,4.0843,1.9632,2.8453,1.8421,3.8619
"GENE0573",7.2055,6.6078,6.6562,5.6573,6.41,6.6609,6.9132,6.8198,6.2763,6.2036,7.2106,5.7645
"GENE0574",5.1794,5.5888,5.0616,5.7855,3.8306,4.9319,5.2449,4.9755,4.9942,5.9719,4.2969,5.6844
"GENE0575",2.1435,5.3864,3.794,3.729,4.5992,4.3653,4.2672,5.5912,4.1108,4.16,4.579,4.3496
"GENE0576",4.4829,4.2547,4.9271,4.4705,4.6523,5.3031,4.1944,5.7625,3.9785,4.7508,3.7156,4.1572
"GENE0577",6.4311,6.0982,7.4732,7.9934,6.6331,9.1605,7.4106,5.8616,6.271,5.7112,5.8907,7.78
"GENE0578",1.9684,1.3191,0.8702,2.3515,2.5183,2.4249,1.7879,1.8995,-0.3548,0.6737,1.5835,1.2675
"GENE0579",5.6323,6.1189,6.985,6.031,3.7817,4.3362,6.152,4.4765,4.4064,6.3946,6.323,4.7633
"GENE0580",4.2639,4.0022,3.5106,3.7306,3.0693,4.1045,3.4985,3.316,4.298,3.7768,3.8547,3.4041
"GENE0581",3.8502,2.6745,4.4196,3.2921,4.606,2.4744,4.1657,2.5167,3.702,3.3259,4.249,3.4246
"GENE0582",6.8982,7.648,6.979,7.1012,7.1531,7.0173,6.659,6.7325,6.8375,7.1847,6.6631,6.3035
"GENE0583",6.6048,6.3764,6.2459,6.6088,7.1566,5.8975,6.51,6.6023,6.5199,6.0647,7.1407,6.1336
"GENE0584",5.6315,5.2118,5.9287,5.4985,5.2655,6.0794,5.7755,6.8271,5.6909,5.9069,5.2938,5.7644
"GENE0585",7.3773,7.3683,6.926,8.0184,7.3853,7.2107,6.279,6.6572,8.7278,6.1022,5.3294,7.5334
"GENE0586",4.4867,5.022,4.6473,5.7498,4.6156,5.7062,5.2072,5.6062,5.1061,4.5144,4.2464,5.3047
"GENE0587",1.4388,1.2001,2.8056,1.7731,2.4785,1.3704,-1.8294,-1.1764,-1.721,-1.662,-0.4729,-2.0324
"GENE0588",8.0803,9.1428,9.3462,8.4397,8.3287,7.9357,9.2949,10.0667,9.6414,9.0105,7.988,9.0936
"GENE0589",5.2044,5.4853,5.5554,5.5954,6.1447,4.5257,5.3585,5.6792,5.8471,5.7609,5.6286,4.8379
"GENE0590",5.5401,6.0775,5.2972,5.2205,5.1699,5.8782,5.5737,6.0363,5.9207,5.7671,5.0361,4.9132
"GENE0591",6.0513,5.7588,6.8244,6.2136,6.524,6.4953,6.6822,5.9424,6.565,6.279,6.2728,5.8083
"GENE0592",8.1307,7.526,8.9825,5.763,7.5346,9.1818,7.8654,6.5186,8.1295,8.0521,6.5894,7.2928
"GENE0593",6.5268,7.3635,7.2867,7.6602,6.6366,8.7268,5.5893,8.069,5.9891,7.9211,6.9936,6.9516
"GENE0594",7.9396,7.3207,6.8427,7.1995,7.6297,8.0082,7.8525,7.8535,7.7025,6.5461,7.9727,7.8697
"GENE0595",5.593,6.2955,5.9322,6.0845,6.9369,7.5678,6.1328,6.4687,7.2827,7.4254,7.1749,6.4328
"GENE0596",4.6104,4.3294,4.6451,4.6262,5.1172,4.6549,4.7274,4.4694,5.0333,4.8341,4.8009,4.3528
"GENE0597",5.5121,5.2241,6.0559,5.1507,6.1089,5.1734,5.2546,5.5424,4.8263,5.2789,5.5433,5.8735
"GENE0598",7.7593,8.5166,8.3592,7.8257,8.2961,6.7289,7.0069,7.8632,7.3101,8.5862,7.5769,8.2461
"GENE0599",5.8495,5.4901,5.1258,3.8898,3.5174,4.3898,5.4885,4.3547,6.8,5.3355,4.6315,4.3075
"GENE0600",4.4109,5.5795,4.0326,6.741,4.0199,4.811,4.1264,4.8303,4.6612,3.8283,3.4014,3.6103
"GENE0601",7.6295,7.9037,7.3984,6.6455,6.4735,7.9682,6.5022,7.1064,7.5348,6.7645,5.7814,7.0037
"GENE0602",8.0101,6.5654,7.017,8.6313,7.0918,7.5276,6.0533,8.3975,8.626,8.4431,5.4098,7.5551
"GENE0603",2.4872,3.1904,2.3985,2.5868,2.1963,1.3321,2.5865,4.2254,2.1815,2.5668,3.1851,3.1224
"GENE0604",6.2314,8.0423,7.699,8.5982,9.8882,6.6902,7.5081,7.5632,5.633,6.1249,6.3565,7.5657
"GENE0605",5.9549,5.7951,5.2688,5.369,6.6032,5.5586,5.9915,6.0129,6.077,5.6259,6.3657,5.2532
"GENE0606",5.0667,7.8982,6.235,6.2472,6.8203,5.587,4.9575,6.3912,6.2473,3.9555,5.8953,5.5989
"GENE0607",8.5594,7.9952,8.3982,7.6137,8.8583,8.2302,8.8341,6.7513,8.4254,8.1347,8.5719,6.5948
"GENE0608",8.8798,8.3986,8.9129,9.1925,8.8472,8.1548,8.442,8.1112,8.5726,8.5243,9.3906,8.0001
"GENE0609",4.9703,3.6436,4.8964,4.7467,4.7642,4.1939,2.6622,2.7925,2.5862,3.7004,2.1208,3.3962
"GENE0610",6.7152,8.2898,7.7406,7.5354,7.9761,7.6945,9.0692,10.4965,10.3118,9.805,10.5228,10.8142
"GENE0611",5.3461,4.1755,5.4058,5.5065,6.8709,5.5922,3.6172,4.4883,4.5039,2.9644,3.5612,7.2432
"GENE0612",6.6678,6.4202,5.1494,6.4843,6.0582,6.3024,8.9536,9.0962,8.4471,9.0872,9.0975,8.9874
"GENE0613",7.3985,7.5412,6.6101,7.6524,7.452,6.7377,7.8646,7.57,7.3846,7.8615,7.165,7.2346
"GENE0614",5.054,6.502,7.4785,6.7009,7.388,5.7991,5.604,6.3393,7.1312,4.9619,6.4015,7.1963
"GENE0615",4.0016,2.4113,3.0635,2.5162,4.5225,2.5171,4.2285,4.0521,5.3309,3.1737,5.4208,4.8385
"GENE0616",5.3733,4.1681,5.1514,5.7475,4.1312,5.1765,5.2885,4.4562,4.8949,5.3185,3.5629,5.536
"GENE0617",9.201,7.979,9.0397,8.2707,8.439,7.6714,8.6297,7.9678,8.2235,8.1476,9.0758,8.8479
"GENE0618",6.2282,6.7039,6.3508,5.8319,6.319,5.5859,6.2406,5.6826,6.177,6.273,5.9885,6.4679
"GENE0619",2.4919,3.8883,4.0789,6.205,4.191,4.9804,6.8142,6.1056,5.1684,5.989,4.733,5.78
"GENE0620",4.3501,4.4067,4.3136,4.137,5.0014,4.199,4.7514,4.9007,5.3053,4.8271,5.0414,4.6183
"GENE0621",7.0581,6.6443,9.0094,8.5913,7.7308,6.564,8.8185,8.7671,9.1855,9.6281,9.1365,7.1474
"GENE0622",7.3884,6.7678,6.3516,7.1033,9.2051,5.0907,8.7836,6.3717,6.7756,8.7198,6.1777,5.5982
"GENE0623",4.1951,4.5844,5.7343,4.3879,3.923,5.353,4.5508,3.2255,5.6583,5.5738,3.8912,4.3193
"GENE0624",6.1394,6.3941,6.0304,6.3937,5.6993,5.7976,5.3021,5.9958,5.7724,6.3779,5.9916,5.6327
"GENE0625",6.2055,7.7675,7.018,6.8749,6.0822,6.6915,5.3113,6.8337,6.1801,5.0391,6.3988,3.5946
"GENE0626",9.6478,8.1851,8.5449,8.9486,9.149,8.2593,9.6046,9.0789,9.0227,9.7364,10.227,10.3827
"GENE0627",4.9935,4.7002,5.0231,5.1485,4.0293,2.8478,2.7708,3.9484,3.7748,5.8796,4.767,4.6001
"GENE0628",3.8989,4.7795,4.8646,4.4682,5.1037,3.6611,5.3733,4.1131,4.3562,4.0388,5.273,4.8524
"GENE0629",7.8778,8.0584,8.0708,7.7397,8.9397,8.9896,8.1979,8.7059,8.0828,8.3892,8.3255,7.9918
"GENE0630",4.446,5.5828,5.6713,5.3716,5.3645,3.845,4.1973,5.1269,5.2472,5.531,5.1995,5.946
"GENE0631",9.3222,8.3235,9.9347,9.2781,6.7279,8.4602,9.663,9.2208,8.4692,7.8027,9.4162,8.7857
"GENE0632",8.4035,8.0991,8.8199,8.2729,8.2317,8.9447,7.4332,7.9585,7.7324,7.9387,8.8329,8.795
"GENE0633",3.3917,2.4993,2.0588,2.9597,1.8397,2.8352,3.9662,0.2257,2.6663,1.3681,5.2165,1.0089
"GENE0634",7.3979,6.5051,5.9682,6.5515,6.7256,6.8769,6.4758,6.3847,7.2196,7.5211,6.9611,6.3248
"GENE0635",2.5349,3.3173,2.8009,3.2089,3.6582,2.4654,3.3738,4.4535,3.3486,2.1834,2.9291,3.5576
"GENE0636",3.3922,3.0405,3.6067,2.2578,2.6653,2.4097,3.0711,2.7258,2.6565,2.3311,3.714,1.8728
"GENE0637",6.5918,5.8188,6.1218,5.2724,6.7707,4.2252,5.4305,5.1427,5.8553,4.2594,6.2332,6.8131
"GENE0638",5.9913,4.2097,6.6021,5.9521,4.7745,6.1939,6.4291,4.865,5.3676,7.0494,5.5144,4.1522
"GENE0639",5.6574,6.4325,5.9697,6.0056,5.2186,5.6868,5.5068,6.1068,6.1864,6.3699,6.4353,5.6733
"GENE0640",8.9354,8.0973,8.3176,8.5726,8.7164,7.6045,8.2603,8.3607,7.3435,8.4143,8.6415,8.412
"GENE0641",6.7219,6.2108,6.3841,6.3875,6.9343,6.358,6.3365,6.6218,6.8273,6.5093,6.7625,6.3775
"GENE0642",4.8555,4.1826,4.8972,4.1074,5.0091,4.1517,4.5258,3.912,4.7088,4.154,4.5612,4.5796
"GENE0643",5.1788,6.6569,6.0581,7.57,6.4201,7.5416,5.9747,5.523,7.2021,6.2129,5.6435,6.5531
"GENE0644",5.797,4.4303,5.7206,3.3245,4.515,4.4084,6.8187,5.3509,4.2454,4.967,4.4491,4.773
"GENE0645",6.7194,6.433,5.983,5.9141,5.6642,5.6939,6.2354,5.8359,5.2987,5.0174,6.3849,5.665
"GENE0646",2.9251,2.8968,3.2015,3.544,3.1513,4.2661,3.0335,3.6703,3.7441,3.3056,2.7786,3.5869
"GENE0647",6.5531,5.1682,4.9596,4.7318,5.8816,5.587,4.3639,5.5106,3.9272,3.3867,4.756,4.6801
"GENE0648",5.2437,6.3079,5.0081,7.461,7.996,8.0307,8.7514,6.3918,6.8765,6.6627,7.1933,6.0612
"GENE0649",5.178,4.737,4.3648,5.3546,4.7163,4.6124,3.9799,6.5716,5.4343,5.2013,3.3138,4.3553
"GENE0650",5.6502,4.8424,5.633,6.2603,6.6291,7.6025,7.5749,6.0321,5.6312,7.3035,5.4523,5.0968
"GENE0651",5.1176,4.7318,4.2357,4.7413,4.9522,3.647,4.9543,5.2126,4.5426,4.6558,4.5675,3.8977
"GENE0652",4.352,5.2371,5.0409,4.5949,5.2393,4.3104,4.2153,5.3641,5.28,4.1928,5.076,4.2275
"GENE0653",6.1263,5.7183,4.9204,5.3263,5.204,5.0924,4.8173,5.3149,5.3667,5.6732,5.9488,4.9598
"GENE0654",7.5171,5.4174,6.9584,4.945,6.7582,6.1404,6.7451,4.7934,6.1437,4.9723,6.2122,3.9931
"GENE0655",4.9466,5.2053,5.7288,5.6306,6.1123,3.6624,5.2504,3.9569,6.5523,4.8628,6.0277,5.0611
"GENE0656",6.9249,5.6693,6.803,5.31,8.0731,7.0559,5.7374,6.4786,6.5397,5.5859,6.2523,6.9593
"GENE0657",7.148,8.9772,7.7844,7.3926,8.2981,8.1876,7.8149,8.2124,8.9711,8.5799,7.86,8.5196
"GENE0658",5.0323,5.4327,5.7777,5.6938,6.0341,5.0202,2.4459,4.6975,1.6505,3.3323,3.2882,3.4405
"GENE0659",5.6082,5.8922,5.2662,6.4852,5.6061,7.0222,5.0127,5.2766,7.2232,5.7682,5.5155,6.0979
"GENE0660",6.8419,6.3821,8.0068,6.7193,6.4403,7.605,7.8632,7.8052,6.6282,8.2329,7.3789,8.5933
"GENE0661",3.2019,5.4353,3.7934,3.8571,4.3278,4.1021,2.7277,4.0426,3.8912,2.9691,4.2182,4.5247
"GENE0662",7.4902,7.6398,6.2745,7.6724,7.1695,8.0212,7.5717,7.8339,6.7423,6.8752,7.8398,7.7344
"GENE0663",4.8925,4.4091,5.0297,4.7835,4.4432,4.5987,5.767,4.3489,4.6504,5.1687,6.0254,4.4443
"GENE0664",3.8025,3.458,4.1652,3.0803,4.8625,1.921,4.7116,5.4992,5.3216,2.8726,4.5829,5.159
"GENE0665",2.466,2.9819,2.6494,2.7962,2.2468,2.581,2.1147,2.3503,2.6135,2.178,1.4566,2.4812
"GENE0666",4.4759,4.3118,4.9644,3.9532,4.6929,4.3306,5.5449,3.9683,4.3912,4.3589,4.8726,3.905
"GENE0667",1.8808,4.1369,4.0891,2.9781,3.7325,2.7309,2.788,2.466,2.9247,2.2672,4.2091,3.491
"GENE0668",3.8974,4.1543,3.7225,3.3269,3.1896,3.9982,4.0181,4.464,3.8359,4.4121,3.6021,3.6858
"GENE0669",8.1538,8.6296,8.4631,7.8727,10.9492,9.075,9.3099,7.6568,8.7811,8.5858,9.5214,9.4984
"GENE0670",3.3541,5.2468,3.5382,3.6839,4.8419,4.7704,4.7642,4.9077,1.7891,2.8234,3.5699,3.2746
"GENE0671",8.0586,8.4078,7.3785,8.4886,8.007,8.184,8.7626,7.708,7.8533,8.4674,7.5145,8.3501
"GENE0672",6.635,7.6475,5.956,7.1732,7.0746,7.5151,5.8231,8.002,6.6124,6.9157,7.8178,8.7235
"GENE0673",4.22,5.1053,3.5447,5.036,4.5261,5.3797,4.2879,5.2253,4.1146,4.5975,4.4535,4.8985
"GENE0674",4.5744,4.526,5.3153,4.3586,4.5806,3.8649,4.8695,4.4769,5.156,5.4798,5.456,5.2479
"GENE0675",5.7589,5.2689,5.2587,5.3042,4.4966,5.1922,5.0536,5.5562,5.5372,4.5472,6.4474,4.6376
"GENE0676",7.1621,5.721,6.7653,4.8491,7.0992,6.0471,5.658,6.6488,5.581,5.434,8.1865,4.1233
"GENE0677",2.7752,5.6399,4.5981,6.0028,6.486,4.2685,5.5245,4.8506,5.6217,5.4658,3.9101,5.7251
"GENE0678",7.8875,7.8822,7.0189,7.6301,7.998,8.4172,7.7115,8.0648,7.8577,7.6083,6.7436,7.397
"GENE0679",6.5824,5.8497,4.9301,4.4974,4.6989,5.6997,4.4248,6.1851,4.5525,5.7341,4.9125,5.5667
"GENE0680",2.9306,-0.6446,0.8665,1.4118,1.9786,1.268,2.1449,2.0804,1.6948,0.1294,0.5832,0.7144
"GENE0681",5.4567,6.099,5.471,5.7946,5.2259,6.4987,5.7047,5.757,5.4894,6.3328,5.861,5.6779
"GENE0682",1.2442,2.5809,2.4213,2.6023,2.5665,1.2154,4.4334,3.4629,3.5395,2.5476,2.6976,2.5943
"GENE0683",8.4457,8.6522,8.8134,8.0659,7.8655,7.4927,8.4157,8.0221,8.2573,8.7454,9.0842,8.5714
"GENE0684",4.8507,4.7545,5.1507,4.7516,4.169,4.6824,4.8711,4.1157,4.6093,5.5052,4.5584,4.7923
"GENE0685",4.3565,2.6476,3.9495,2.8984,3.6749,3.9303,3.8547,3.3646,3.8491,3.3205,3.7476,3.6418
"GENE0686",4.7472,4.9442,5.1622,5.0408,4.3789,4.4247,4.7246,4.0041,4.5558,4.4054,4.3596,4.4762
"GENE0687",7.7306,7.698,7.3696,7.3544,7.0152,7.9053,5.8251,5.7549,6.43,7.1077,8.731,7.6016
"GENE0688",2.6837,1.3375,2.3985,1.719,2.595,1.7179,1.7244,1.0977,2.0201,1.4663,2.2162,2.0392
"GENE0689",7.5817,6.0098,6.2865,6.7687,6.0306,8.0693,6.5235,7.0188,7.2988,7.0963,4.8061,6.6242
"GENE0690",2.7219,4.5017,4.2837,3.6739,5.6728,4.9548,4.3125,4.2706,4.0087,3.4985,4.628,3.9991
"GENE0691",6.5701,6.8058,6.2487,6.7773,4.9464,6.0353,5.6211,7.4637,4.7826,5.2697,6.9148,6.3057
"GENE0692",7.0768,7.4506,6.2018,8.3781,7.7847,7.5732,7.0723,9.1678,7.2239,8.8754,8.2329,6.8145
"GENE0693",7.2844,7.1127,7.8683,7.0124,8.1496,6.4807,7.465,7.0886,6.5145,6.7111,6.9817,7.3289
"GENE0694",8.6376,8.7367,7.7325,8.6863,9.0593,7.9263,8.9146,8.5763,9.0556,8.3053,9.4051,8.5327
"GENE0695",6.5051,6.3775,4.5056,6.8658,7.8016,5.3233,7.4115,5.4183,5.039,4.0967,5.1492,5.6087
"GENE0696",4.8949,4.2752,5.693,4.2366,4.2887,4.474,4.7121,4.8688,4.5686,4.106,5.1223,4.9686
"GENE0697",9.8013,9.8351,10.3312,10.2484,10.7119,10.0741,12.1992,11.6301,10.135,11.0805,10.8074,9.6412
"GENE0698",6.1666,5.371,4.6986,7.1221,6.0261,8.3611,4.6538,6.7542,4.8978,5.892,5.32,7.1931
"GENE0699",8.6097,6.889,7.8833,7.2143,7.9842,8.0339,6.5629,6.8365,7.8042,8.1933,7.1276,8.4342
"GENE0700",7.7585,7.9017,6.6126,8.0825,6.6105,7.5714,8.1848,9.5019,6.8027,9.2815,8.3029,8.4404
"GENE0701",6.6273,6.5652,7.3187,7.4196,7.098,6.0253,7.4231,6.9277,8.8531,8.1615,8.1637,10.1838
"GENE0702",9.7066,8.3318,9.1584,7.5336,9.1498,9.4006,7.0932,6.2847,5.7851,4.9069,6.5173,5.5167
"GENE0703",5.7677,5.9205,6.5773,5.3255,4.4743,5.3355,6.5844,6.196,6.595,6.0943,6.6342,6.2741
"GENE0704",3.6779,3.2664,3.1471,2.395,4.3388,3.9544,2.6247,3.3093,3.6392,5.2107,1.9516,2.202
"GENE0705",4.9415,5.4389,5.9412,5.3991,5.8974,5.3227,4.8553,5.6751,5.4101,5.8221,5.0235,5.9784
"GENE0706",4.8011,6.6933,3.8192,5.8476,5.522,5.6083,3.7316,4.8496,4.9034,6.0217,4.4102,5.9047
"GENE0707",7.9076,6.7233,6.6615,7.4976,6.3419,7.2978,7.3969,6.8388,6.3974,7.6838,5.608,6.2352
"GENE0708",4.573,2.8901,4.1224,2.6784,3.4253,3.4842,4.2006,2.8416,3.6325,2.9344,4.6372,3.3435
"GENE0709",6.9581,6.7069,7.6325,6.3841,6.7638,6.3352,7.4173,6.2619,7.515,6.2855,7.2931,6.8471
"GENE0710",3.1412,4.1637,3.9308,3.5278,4.0551,4.0874,4.8477,4.431,3.4708,4.4981,3.4071,4.7457
"GENE0711",8.359,9.7284,9.2811,10.733,9.0707,9.0386,9.0451,8.5989,10.5531,8.8799,10.2978,10.3527
"GENE0712",8.5934,8.1697,9.5546,8.7059,8.6539,8.5015,8.4802,9.0943,9.685,9.1524,8.3471,8.874
"GENE0713",4.9747,4.5432,5.4818,5.2862,4.3213,4.8217,5.4935,5.1307,6.1608,4.8267,5.1302,4.3263
"GENE0714",6.7448,6.608,6.3126,4.9956,6.1447,6.7092,5.9017,6.0548,4.7636,6.2365,6.2692,5.994
"GENE0715",6.1973,4.5183,4.4355,5.0131,4.6644,4.6462,6.5979,5.1094,5.3536,4.4929,4.4667,5.9001
"GENE0716",3.853,2.1682,3.3702,2.6116,3.9056,2.5018,3.0227,3.5119,3.8725,2.9376,3.9643,2.929
"GENE0717",0.7548,0.6034,1.036,-0.8044,1.0186,-0.1261,0.1419,0.5097,-0.021,0.7047,-0.923,0.3697
