"gene","logFC","AveExpr","pvalue","padj"
"ENSG00000079482",-0.015,8.6481,0.9169,0.9658
"ENSG00000079616",-0.2014,8.5071,0.2462,0.4874
"ENSG00000079691",1.1469,10.6374,6.326e-15,2.569e-13
"ENSG00000079739",0.2061,10.5023,0.0613,0.1869
"ENSG00000079785",0.0304,10.9987,0.7179,0.8728
"ENSG00000079805",0.1026,11.2868,0.2166,0.4488
"ENSG00000079819",-0.2805,12.8593,0.00879,0.04144
"ENSG00000079841",1.1795,7.5376,0.002421,0.01418
"ENSG00000079931",-0.3091,12.5086,0.01702,0.06977
"ENSG00000079950",0.4615,10.6159,3.036e-05,0.0003031
"ENSG00000079974",-0.0831,9.5829,0.4847,0.7169
"ENSG00000079999",0.0847,10.7901,0.4102,0.6563
"ENSG00000080007",-0.8805,7.2802,0.06515,0.1951
"ENSG00000080031",-1.1059,7.4389,0.009817,0.04527
"ENSG00000080166",-0.8755,7.0466,0.2883,0.537
"ENSG00000080189",0.111,9.8353,0.2827,0.5302
"ENSG00000080200",-0.6319,9.4059,7.46e-08,1.247e-06
"ENSG00000080298",-0.0521,8.2275,0.7768,0.9032
"ENSG00000080345",0.1119,10.5387,0.1977,0.4248
"ENSG00000080371",0.1958,10.322,0.06028,0.1847
"ENSG00000080493",-0.8104,8.8763,1.169e-06,1.562e-05
"ENSG00000080503",0.1868,11.8158,0.04725,0.154
"ENSG00000080546",-0.2468,9.645,0.01706,0.06991
"ENSG00000080561",-0.0344,8.3702,0.8445,0.9354
"ENSG00000080573",0.9075,8.9171,4.24e-07,6.206e-06
"ENSG00000080603",-0.0779,11.5293,0.3911,0.637
"ENSG00000080608",0.1908,9.334,0.1261,0.3138
"ENSG00000080802",-0.1007,9.5577,0.3571,0.6043
"ENSG00000080815",0.5107,10.9312,6.234e-07,8.769e-06
"ENSG00000080819",0.0467,9.4524,0.6824,0.851
"ENSG00000080822",0.5014,9.9193,3.665e-06,4.502e-05
"ENSG00000080823",-0.619,8.1611,0.006562,0.03261
"ENSG00000080824",-0.3996,13.8921,3.536e-07,5.244e-06
"ENSG00000080839",0.0162,8.284,0.9323,0.9726
"ENSG00000080845",-0.2298,10.9031,0.0104,0.04745
"ENSG00000080947",-0.5004,8.1246,0.007906,0.03808
"ENSG00000080986",0.229,7.594,0.4688,0.7039
"ENSG00000081014",-0.0052,9.4301,0.967,0.9868
"ENSG00000081019",0.1844,9.0997,0.1494,0.3543
"ENSG00000081026",-0.3443,8.9393,0.006464,0.03222
"ENSG00000081052",1.9122,8.4541,1.272e-23,1.165e-21
"ENSG00000081059",-0.5199,7.7347,0.04983,0.1604
"ENSG00000081087",0.475,10.3907,0.0001438,0.001218
"ENSG00000081148",-0.5712,7.1462,0.3464,0.5942
"ENSG00000081154",-0.0186,11.5065,0.8324,0.9304
"ENSG00000081177",0.2016,9.2639,0.09051,0.2468
"ENSG00000081181",0.7208,7.1557,0.24,0.4792
"ENSG00000081189",-0.5983,8.1579,0.004245,0.02274
"ENSG00000081307",-0.2974,9.8857,0.01763,0.07185
"ENSG00000081320",1.0719,10.5992,1.644e-11,4.439e-10
"ENSG00000081377",0.8351,11.2357,3.62e-17,1.803e-15
"ENSG00000081386",-0.3435,8.902,0.008095,0.03879
"ENSG00000081665",-0.3229,8.1792,0.0803,0.2266
"ENSG00000081692",-0.3309,7.7931,0.1793,0.3992
"ENSG00000081721",-0.3345,8.6507,0.03533,0.1233
"ENSG00000081760",-0.1822,9.0909,0.1557,0.364
"ENSG00000081791",-0.0961,10.2591,0.3359,0.5848
"ENSG00000081803",1.3269,10.1131,4.188e-18,2.317e-16
"ENSG00000081818",0.0839,7.3445,0.8641,0.9438
"ENSG00000081842",-0.1119,7.0199,0.9054,0.9613
"ENSG00000081853",-0.0833,8.4842,0.5964,0.797
"ENSG00000081870",0.3169,8.7251,0.02523,0.09541
"ENSG00000081913",-0.1446,8.6542,0.3291,0.5778
"ENSG00000081923",0.2116,10.5977,0.2064,0.4354
"ENSG00000082014",0.0653,9.7396,0.5224,0.744
"ENSG00000082068",0.0358,9.6404,0.7635,0.8972
"ENSG00000082126",1.243,7.3662,0.003264,0.01814
"ENSG00000082146",0.8943,10.3379,7.325e-13,2.359e-11
"ENSG00000082153",0.3069,12.5493,0.000118,0.001023
"ENSG00000082175",-0.3281,7.0492,0.6851,0.8532
"ENSG00000082196",0.2433,7.1725,0.6855,0.8536
"ENSG00000082212",-0.0887,9.3574,0.4554,0.6933
"ENSG00000082213",0.3429,9.2454,0.004126,0.0222
"ENSG00000082258",0.0987,9.7794,0.3238,0.5716
"ENSG00000082269",-0.1848,8.5977,0.317,0.5655
"ENSG00000082397",-0.3989,9.2705,0.001447,0.009156
"ENSG00000082438",-0.229,9.9775,0.05302,0.1678
"ENSG00000082458",-0.6615,9.1499,7.924e-07,1.089e-05
"ENSG00000082482",-0.6256,7.6219,0.04613,0.1514
"ENSG00000082497",-0.9187,7.1716,0.1143,0.2926
"ENSG00000082512",0.352,9.3137,0.02452,0.09342
"ENSG00000082515",0.0272,8.6679,0.8606,0.9425
"ENSG00000082516",0.2099,9.3446,0.09075,0.2472
"ENSG00000082641",0.26,13.3492,0.002421,0.01418
"ENSG00000082701",-0.007,10.6788,0.9365,0.9733
"ENSG00000082781",0.0336,12.819,0.7071,0.8663
"ENSG00000082805",0.0533,11.1446,0.5417,0.7596
"ENSG00000082898",-0.1488,11.3483,0.0793,0.2247
"ENSG00000082996",0.3315,10.1277,0.004633,0.02452
"ENSG00000083067",-0.2858,7.2334,0.6349,0.8239
"ENSG00000083093",-0.2507,8.5404,0.09187,0.2492
"ENSG00000083097",-0.6253,9.326,2.115e-06,2.705e-05
"ENSG00000083099",-0.2259,9.4457,0.03952,0.1345
"ENSG00000083123",0.2835,9.0614,0.07107,0.2079
"ENSG00000083168",-0.2216,10.5263,0.02949,0.1074
"ENSG00000083223",1.1085,10.6306,5.632e-21,4.095e-19
"ENSG00000083290",1.1382,10.6407,1.517e-15,6.574e-14
"ENSG00000083312",0.1233,12.2514,0.1464,0.3491
"ENSG00000083444",-0.1141,12.6529,0.2934,0.5418
"ENSG00000083454",0.554,7.0635,0.4602,0.6973
"ENSG00000083457",0.3267,8.7988,0.03469,0.1217
"ENSG00000083520",0.3133,10.2512,0.00118,0.007667
"ENSG00000083535",0.1089,9.0292,0.3902,0.6361
"ENSG00000083544",-0.1365,8.7083,0.3758,0.6222
"ENSG00000083635",-0.1196,8.1615,0.5449,0.762
"ENSG00000083642",-0.1852,10.0548,0.04919,0.1588
"ENSG00000083720",0.6902,10.051,1.097e-10,2.679e-09
"ENSG00000083750",0.1243,9.3856,0.3662,0.6133
"ENSG00000083799",-0.1954,10.3402,0.0589,0.1815
"ENSG00000083807",-0.268,7.8251,0.3188,0.5674
"ENSG00000083812",-0.1776,8.5411,0.2341,0.4708
"ENSG00000083814",-0.248,8.3678,0.1479,0.3517
"ENSG00000083817",-0.3571,8.0407,0.07901,0.2243
"ENSG00000083828",-0.1848,7.7411,0.4987,0.7271
"ENSG00000083838",-0.1063,8.2247,0.5592,0.7723
"ENSG00000083844",0.0556,8.1278,0.7759,0.9031
"ENSG00000083845",-0.0466,13.0382,0.6459,0.83
"ENSG00000083857",-0.3033,12.9658,0.04249,0.1421
"ENSG00000083896",-0.0869,10.4299,0.3269,0.5754
"ENSG00000083937",0.1059,9.9648,0.3501,0.5977
"ENSG00000084070",-0.1135,9.3906,0.3811,0.6279
"ENSG00000084072",-0.0268,9.459,0.8035,0.9159
"ENSG00000084073",0.1511,11.0019,0.09345,0.2523
"ENSG00000084090",1.2498,11.7603,2.133e-21,1.623e-19
"ENSG00000084092",-0.152,9.5185,0.2515,0.494
"ENSG00000084093",0.1371,10.1247,0.1786,0.3984
"ENSG00000084112",0.0917,11.4329,0.4307,0.6734
"ENSG00000084207",-0.0794,11.8155,0.3828,0.6295
"ENSG00000084234",0.0799,14.6537,0.3201,0.5686
"ENSG00000084444",0.5461,8.7926,0.0003704,0.002811
"ENSG00000084463",-2e-04,10.4597,0.9983,0.9992
"ENSG00000084623",0.008,11.464,0.9184,0.9663
"ENSG00000084636",-0.5657,11.6103,4.184e-08,7.36e-07
"ENSG00000084652",0.4106,11.9672,1.014e-07,1.654e-06
"ENSG00000084674",1.6466,8.4702,0.001725,0.01061
"ENSG00000084676",-0.0457,10.4393,0.6998,0.8621
"ENSG00000084693",-0.1517,9.5619,0.24,0.4792
"ENSG00000084710",-2.8017,7.1226,8.005e-05,0.0007235
"ENSG00000084731",-0.0279,9.7425,0.8001,0.9141
"ENSG00000084733",-0.002,11.3752,0.9827,0.9926
"ENSG00000084754",0.2115,12.2501,0.023,0.08873
"ENSG00000084764",-0.7524,8.9452,3.393e-08,6.04e-07
"ENSG00000084774",0.2549,10.3146,0.0339,0.1195
"ENSG00000085063",0.0865,13.4444,0.2917,0.5401
"ENSG00000085117",1.2191,10.8994,2.082e-14,7.871e-13
"ENSG00000085185",0.0309,9.299,0.8382,0.9326
"ENSG00000085224",-0.231,11.6338,0.002608,0.01509
"ENSG00000085231",0.3006,9.838,0.007868,0.03798
"ENSG00000085274",-0.1704,8.7711,0.2097,0.4402
"ENSG00000085276",-0.0767,10.5911,0.3756,0.6221
"ENSG00000085365",-0.0998,10.3157,0.3366,0.5853
"ENSG00000085377",0.5356,9.6318,3.766e-07,5.566e-06
"ENSG00000085382",-0.1375,8.9827,0.3427,0.5913
"ENSG00000085415",0.675,9.0015,1.858e-06,2.406e-05
"ENSG00000085433",0.145,9.5532,0.2061,0.4351
"ENSG00000085449",0.043,10.9421,0.6933,0.8587
"ENSG00000085465",0.4618,7.7212,0.1,0.2655
"ENSG00000085491",0.2352,10.0178,0.03049,0.1102
"ENSG00000085511",-0.542,9.8492,1.614e-06,2.111e-05
"ENSG00000085514",0.414,7.5384,0.2223,0.4556
"ENSG00000085563",-0.7297,8.0486,0.0008106,0.005577
"ENSG00000085644",-0.2959,8.9717,0.03915,0.1335
"ENSG00000085662",-0.4413,11.3143,8.649e-05,0.0007747
"ENSG00000085719",0.4215,11.5058,6.883e-07,9.599e-06
"ENSG00000085721",0.2398,9.8784,0.01942,0.07752
"ENSG00000085733",0.0375,13.2482,0.6052,0.8047
"ENSG00000085760",0.0261,9.5025,0.8085,0.9183
"ENSG00000085788",0.1011,10.3543,0.3073,0.5562
"ENSG00000085831",-0.471,7.1403,0.4786,0.7121
"ENSG00000085832",0.1527,11.1238,0.1193,0.3013
"ENSG00000085840",-0.2124,7.1273,0.7461,0.8884
"ENSG00000085871",-0.1494,8.2324,0.4111,0.657
"ENSG00000085872",-0.0124,9.3583,0.9104,0.9631
"ENSG00000085978",0.2868,9.5735,0.006395,0.03196
"ENSG00000085982",-0.2966,10.3412,0.0008228,0.00565
"ENSG00000085998",0.1584,10.3244,0.1092,0.2835
"ENSG00000085999",-0.4106,7.2256,0.423,0.6672
"ENSG00000086015",-0.3411,10.9478,0.0001465,0.001239
"ENSG00000086061",-0.2931,11.9085,0.01068,0.04844
"ENSG00000086062",-0.5938,11.6659,2.497e-09,5.248e-08
"ENSG00000086065",0.0321,10.5894,0.7514,0.8909
"ENSG00000086102",-0.3465,10.3439,0.0001345,0.001149
"ENSG00000086189",0.2264,9.4408,0.03484,0.1222
"ENSG00000086200",-0.0263,9.3078,0.8266,0.927
"ENSG00000086232",0.0786,11.1257,0.3252,0.5734
"ENSG00000086289",0.1798,10.3134,0.0486,0.1573
"ENSG00000086475",-0.122,9.9534,0.2356,0.4731
"ENSG00000086504",-0.1334,9.586,0.2465,0.4878
"ENSG00000086544",0.6178,10.0049,0.05549,0.1733
"ENSG00000086570",0.3241,7.2521,0.5224,0.744
"ENSG00000086589",-0.0673,9.467,0.5326,0.7522
"ENSG00000086598",0.1059,12.151,0.1835,0.4046
"ENSG00000086619",0.3879,8.2683,0.0289,0.1058
"ENSG00000086666",-0.0095,10.2707,0.9211,0.967
"ENSG00000086696",-0.9181,7.1973,0.176,0.3944
"ENSG00000086712",-0.0109,9.5311,0.942,0.9758
"ENSG00000086730",0.0111,7.1263,0.9865,0.9944
"ENSG00000086758",-0.0242,13.045,0.7881,0.909
"ENSG00000086827",-0.0815,8.9892,0.5115,0.7362
"ENSG00000086848",0.4542,8.7528,0.05166,0.1644
"ENSG00000086991",-0.4554,7.5428,0.2331,0.4692
"ENSG00000087008",-0.0208,9.0388,0.8761,0.9481
"ENSG00000087053",0.0861,9.8561,0.4041,0.6501
"ENSG00000087074",0.0071,10.7638,0.9447,0.9765
"ENSG00000087076",-0.6273,8.7687,4.84e-05,0.0004608
"ENSG00000087077",-0.3362,10.9167,0.002723,0.01564
"ENSG00000087085",-0.6957,7.0681,0.3698,0.6165
"ENSG00000087086",-0.6243,17.4536,1.472e-12,4.546e-11
"ENSG00000087087",0.1197,10.8153,0.2173,0.4496
"ENSG00000087088",-0.0859,10.6729,0.3516,0.5991
"ENSG00000087095",-0.081,8.6054,0.5856,0.7907
"ENSG00000087111",0.1208,10.3612,0.1909,0.4149
"ENSG00000087116",0.6996,12.1502,3.476e-13,1.181e-11
"ENSG00000087152",0.1304,10.3411,0.1804,0.4006
"ENSG00000087157",0.1571,9.7513,0.128,0.3168
"ENSG00000087191",0.4737,10.4809,6.731e-07,9.401e-06
"ENSG00000087206",0.0209,9.2916,0.8702,0.945
"ENSG00000087237",-0.521,7.108,0.4416,0.683
"ENSG00000087245",-0.2112,16.9811,0.002792,0.016
"ENSG00000087253",-0.2089,10.0089,0.02934,0.107
"ENSG00000087263",0.1679,9.5167,0.1501,0.3555
"ENSG00000087266",-0.7959,9.1826,2.021e-09,4.305e-08
"ENSG00000087269",0.2231,9.5228,0.04339,0.1444
"ENSG00000087274",0.188,12.8885,0.01759,0.07173
"ENSG00000087299",-0.067,7.75,0.7943,0.9117
"ENSG00000087301",0.3903,8.8412,0.008404,0.03993
"ENSG00000087302",0.0262,10.8499,0.7524,0.8914
"ENSG00000087303",0.4711,12.8258,2.332e-05,0.0002416
"ENSG00000087338",0.4471,8.9719,0.0004752,0.003496
"ENSG00000087365",0.0711,12.1353,0.3444,0.5924
"ENSG00000087448",1.0606,10.048,1.01e-17,5.292e-16
"ENSG00000087460",-0.0697,13.9036,0.3324,0.5814
"ENSG00000087470",0.2702,10.4072,0.00468,0.0247
"ENSG00000087494",0.5643,7.6226,0.0844,0.2353
"ENSG00000087502",0.1848,10.2018,0.0731,0.2121
"ENSG00000087510",0.4272,7.1191,0.5368,0.7556
"ENSG00000087586",-0.3558,8.4907,0.2063,0.4354
"ENSG00000087589",0.3481,8.9665,0.4236,0.6678
"ENSG00000087842",-0.6918,8.5298,1.012e-05,0.0001133
"ENSG00000087884",0.4564,8.1514,0.03066,0.1107
"ENSG00000087903",-0.7329,8.6716,0.0005783,0.004154
"ENSG00000087995",0.035,8.8952,0.793,0.9114
"ENSG00000088035",-0.1929,8.4263,0.265,0.5096
"ENSG00000088038",0.1674,10.0165,0.1122,0.289
"ENSG00000088179",-0.4505,8.8654,0.0004985,0.003647
"ENSG00000088205",0.153,10.2484,0.1422,0.3418
"ENSG00000088247",-0.0447,11.4295,0.5751,0.7836
"ENSG00000088256",0.2138,10.4274,0.02368,0.09086
"ENSG00000088280",-0.0331,10.9295,0.8024,0.9153
"ENSG00000088298",0.0227,9.7171,0.8361,0.9318
"ENSG00000088305",-0.768,7.7258,0.008277,0.03946
"ENSG00000088325",-0.8621,8.7606,1.063e-07,1.73e-06
"ENSG00000088340",0.1747,8.294,0.4393,0.681
"ENSG00000088356",0.076,8.6596,0.5965,0.797
"ENSG00000088367",-0.148,10.6022,0.08912,0.244
"ENSG00000088387",0.1967,9.2718,0.1742,0.3917
"ENSG00000088448",-0.0579,10.6758,0.6533,0.8346
"ENSG00000088451",0.087,8.1569,0.6701,0.8441
"ENSG00000088538",-0.4471,7.501,0.2012,0.4291
"ENSG00000088543",0.055,9.4507,0.6445,0.8294
"ENSG00000088682",-0.205,9.2574,0.12,0.3023
"ENSG00000088727",0.3257,7.5836,0.3256,0.574
"ENSG00000088756",-1.6474,9.5778,6.89e-24,6.437e-22
"ENSG00000088766",0.5676,9.1909,1.243e-05,0.0001364
"ENSG00000088808",-0.3961,8.2518,0.02338,0.08993
"ENSG00000088812",0.0728,11.6418,0.3603,0.6072
"ENSG00000088826",-0.7841,8.7743,2.858e-07,4.309e-06
"ENSG00000088832",0.1006,12.0949,0.2716,0.5167
"ENSG00000088833",-0.1858,10.2122,0.06271,0.19
"ENSG00000088836",0.3277,7.8357,0.2554,0.4987
"ENSG00000088854",0.3194,10.7715,0.0004696,0.003459
"ENSG00000088876",0.3346,8.8686,0.01452,0.06152
"ENSG00000088881",-0.0464,7.9125,0.8413,0.9339
"ENSG00000088882",-0.8121,7.7722,0.003506,0.01933
"ENSG00000088888",0.5034,10.3962,7.409e-05,0.0006768
"ENSG00000088899",-0.0465,8.6817,0.7804,0.9052
"ENSG00000088930",-0.0662,11.5139,0.4485,0.6881
"ENSG00000088970",-0.0852,9.5917,0.5354,0.7542
"ENSG00000088986",-0.0603,11.2283,0.6185,0.8129
"ENSG00000089006",0.3988,11.1896,0.0004665,0.003439
"ENSG00000089009",-0.0755,14.001,0.3576,0.6046
"ENSG00000089022",0.141,9.0421,0.2627,0.5073
"ENSG00000089041",-1.9854,7.9816,1.598e-14,6.21e-13
"ENSG00000089048",0.1338,9.2282,0.2535,0.4961
"ENSG00000089050",-0.4557,9.0727,0.0003361,0.002586
"ENSG00000089053",-6e-04,11.2196,0.995,0.998
"ENSG00000089057",-0.2874,10.049,0.01348,0.05803
"ENSG00000089060",0.4968,10.1054,1.257e-07,2.018e-06
"ENSG00000089063",0.0149,11.3745,0.8606,0.9425
"ENSG00000089091",-0.0396,7.5456,0.899,0.9588
"ENSG00000089094",-0.1665,9.273,0.1741,0.3915
"ENSG00000089123",0.6999,8.2701,0.0001008,0.000887
"ENSG00000089127",-1.348,7.2608,0.01133,0.05078
"ENSG00000089154",0.1197,11.4567,0.2027,0.4312
"ENSG00000089157",0.0578,15.2644,0.5012,0.7292
"ENSG00000089159",-0.2695,11.5616,0.009778,0.04513
"ENSG00000089163",-0.5547,7.3896,0.1849,0.4067
"ENSG00000089177",-0.203,9.4752,0.09459,0.2547
"ENSG00000089195",0.1232,8.49,0.4368,0.6789
"ENSG00000089220",0.1695,11.9218,0.05006,0.1609
"ENSG00000089225",-0.4156,9.7495,0.0004012,0.003005
"ENSG00000089234",0.1336,9.5137,0.3013,0.5501
"ENSG00000089248",-0.1865,11.1115,0.01948,0.07775
"ENSG00000089280",0.0123,10.9674,0.9124,0.9636
"ENSG00000089289",0.0934,10.151,0.4072,0.6531
"ENSG00000089327",-0.2554,10.0923,0.0121,0.05336
"ENSG00000089335",-0.1944,9.6855,0.07659,0.2193
"ENSG00000089351",-0.0903,9.916,0.5093,0.7347
"ENSG00000089472",-0.256,11.5742,0.006151,0.03099
"ENSG00000089486",-0.1895,9.5932,0.0896,0.245
"ENSG00000089505",-0.3862,7.4077,0.3058,0.5548
"ENSG00000089597",0.1044,13.2072,0.1569,0.3658
"ENSG00000089639",-0.1726,8.3481,0.3611,0.6082
"ENSG00000089682",-0.2269,8.7879,0.1004,0.2661
"ENSG00000089685",0.2456,7.2599,0.6473,0.8309
"ENSG00000089692",-0.2163,7.0404,0.7897,0.9097
"ENSG00000089693",-0.0885,11.3239,0.3287,0.5774
"ENSG00000089723",-0.5726,7.7075,0.03068,0.1107
"ENSG00000089737",-0.2246,11.8496,0.01363,0.05856
"ENSG00000089775",0.1296,8.7883,0.3433,0.5917
"ENSG00000089818",0.0283,9.3833,0.8072,0.9176
"ENSG00000089820",-0.3864,7.395,0.3208,0.5689
"ENSG00000089847",-0.0467,7.7347,0.8606,0.9425
"ENSG00000089876",-0.065,9.3953,0.5577,0.7711
"ENSG00000089902",-0.0411,9.3938,0.7203,0.8742
"ENSG00000089916",0.1154,10.4073,0.3039,0.5529
"ENSG00000090006",-0.1643,14.7798,0.05028,0.1613
"ENSG00000090013",-0.2587,9.8357,0.02686,0.1002
"ENSG00000090020",-0.2838,10.3654,0.02108,0.08277
"ENSG00000090054",-0.0146,10.8717,0.8635,0.9436
"ENSG00000090060",-0.0339,11.7916,0.6527,0.8341
"ENSG00000090061",0.1466,9.9161,0.1807,0.401
"ENSG00000090097",-0.2644,9.7488,0.01764,0.07185
"ENSG00000090238",0.3724,10.1869,0.001969,0.01189
"ENSG00000090263",-0.1005,9.0603,0.429,0.6721
"ENSG00000090266",0.0655,9.0722,0.6302,0.8206
"ENSG00000090273",0.2282,10.3366,0.01503,0.06323
"ENSG00000090316",-0.0273,10.4836,0.7746,0.9022
"ENSG00000090339",0.2869,8.5624,0.1099,0.2847
"ENSG00000090372",0.1178,10.3627,0.183,0.4041
"ENSG00000090376",1.0293,9.5436,7.366e-11,1.835e-09
"ENSG00000090432",0.1994,9.8491,0.06459,0.1941
"ENSG00000090447",-0.3016,8.2346,0.08752,0.2409
"ENSG00000090470",-0.0103,9.562,0.924,0.9682
"ENSG00000090487",0.0756,11.0457,0.3525,0.5999
"ENSG00000090520",0.0762,10.0572,0.5877,0.7918
"ENSG00000090530",-0.3513,8.0012,0.09256,0.2504
"ENSG00000090534",-0.3451,7.3208,0.4568,0.6945
"ENSG00000090539",0.0946,8.7373,0.5789,0.7863
"ENSG00000090565",0.4915,11.0784,9.967e-09,1.911e-07
"ENSG00000090581",-0.1637,10.3689,0.09827,0.2621
"ENSG00000090612",-0.2131,9.0127,0.1056,0.2766
"ENSG00000090615",0.0898,11.2675,0.3151,0.564
"ENSG00000090621",-0.0193,11.7742,0.8201,0.9238
"ENSG00000090661",-0.4645,8.3527,0.007882,0.03798
"ENSG00000090674",0.2491,9.4364,0.03464,0.1216
"ENSG00000090686",0.1311,10.9606,0.1474,0.3509
"ENSG00000090776",-0.6149,9.4976,9.133e-06,0.0001033
"ENSG00000090857",-0.0091,10.1637,0.9262,0.9696
"ENSG00000090861",-0.5788,11.5789,7.446e-06,8.579e-05
"ENSG00000090863",-0.1375,12.3419,0.09706,0.2596
"ENSG00000090889",-0.4545,7.4755,0.2306,0.4665
"ENSG00000090905",0.1188,11.6101,0.1758,0.394
"ENSG00000090920",0.0353,7.4299,0.9389,0.9746
"ENSG00000090924",0.1515,10.2139,0.2194,0.4521
"ENSG00000090971",0.1462,8.9544,0.2506,0.4926
"ENSG00000090975",0.2782,9.5234,0.01471,0.06218
"ENSG00000090989",-0.0209,10.6862,0.8157,0.9221
"ENSG00000091009",0.0603,9.818,0.563,0.7748
"ENSG00000091039",-0.0854,12.265,0.3106,0.5593
"ENSG00000091073",0.1076,8.5534,0.4779,0.7118
"ENSG00000091106",0.1125,7.1277,0.8595,0.9423
"ENSG00000091127",0.4737,8.4344,0.02333,0.08976
"ENSG00000091128",1.432,7.1106,0.0602,0.1845
"ENSG00000091129",0.04,8.3705,0.8147,0.9217
"ENSG00000091136",0.7619,14.784,9.438e-15,3.765e-13
"ENSG00000091137",-0.1517,7.093,0.8349,0.9314
"ENSG00000091140",0.0215,10.0404,0.8208,0.9241
"ENSG00000091157",-0.0857,9.3702,0.4311,0.6738
"ENSG00000091164",-0.2588,10.4958,0.005615,0.02874
"ENSG00000091262",-1.0666,8.1886,2.79e-07,4.221e-06
"ENSG00000091317",0.6256,11.029,6.517e-12,1.83e-10
"ENSG00000091409",0.5261,8.8456,0.001335,0.008551
"ENSG00000091428",-1.1672,7.5425,0.0003111,0.002414
"ENSG00000091436",-0.0879,12.1521,0.2421,0.4819
"ENSG00000091483",0.3411,10.1515,0.002336,0.01378
"ENSG00000091490",-0.5228,10.7788,0.0004019,0.003009
"ENSG00000091513",-0.7526,7.1452,0.2881,0.5367
"ENSG00000091527",0.7657,12.2611,2.548e-25,2.671e-23
"ENSG00000091536",-0.349,7.6541,0.2756,0.5214
"ENSG00000091542",-0.0401,10.6696,0.7123,0.869
"ENSG00000091592",-0.1856,10.7322,0.03499,0.1225
"ENSG00000091622",-0.8268,7.4991,0.0154,0.06449
"ENSG00000091640",0.1389,9.9248,0.2016,0.4297
"ENSG00000091651",-0.3937,7.6015,0.1881,0.4113
"ENSG00000091656",-0.2467,10.0088,0.1072,0.2795
"ENSG00000091732",-0.0176,8.6794,0.9014,0.9598
"ENSG00000091831",-1.1715,7.5158,0.0006437,0.004563
"ENSG00000091844",-0.6503,7.9315,0.003265,0.01814
"ENSG00000091947",-0.1201,9.2397,0.3214,0.5696
"ENSG00000091972",-0.2659,7.6999,0.3671,0.6142
"ENSG00000091986",0.184,16.876,0.1095,0.2842
"ENSG00000092010",-0.1037,10.698,0.261,0.5052
"ENSG00000092020",0.131,8.8755,0.3535,0.6009
"ENSG00000092036",0.1678,8.2483,0.3682,0.615
"ENSG00000092068",0.7794,10.8985,0.0604,0.185
"ENSG00000092094",-0.2898,8.9155,0.0226,0.08758
"ENSG00000092096",-0.2065,9.1895,0.1335,0.3265
"ENSG00000092098",-0.0318,8.8852,0.8224,0.925
"ENSG00000092108",-0.0199,10.32,0.8211,0.9243
"ENSG00000092140",0.2278,8.9995,0.07325,0.2123
"ENSG00000092148",-0.1019,12.6363,0.2674,0.5122
"ENSG00000092199",0.0546,12.3546,0.5422,0.7597
"ENSG00000092201",-0.0307,11.4,0.7076,0.8667
"ENSG00000092203",0.0021,10.699,0.9813,0.9921
"ENSG00000092208",0.0747,7.9112,0.7439,0.8869
"ENSG00000092295",-0.1117,7.2404,0.8338,0.9308
"ENSG00000092330",-0.1024,9.8888,0.3081,0.557
"ENSG00000092421",-0.1051,7.5824,0.7974,0.9129
"ENSG00000092439",0.1023,11.0227,0.2468,0.488
"ENSG00000092445",-0.4695,9.2986,0.0001553,0.001305
"ENSG00000092470",-0.3586,8.0105,0.1054,0.2762
"ENSG00000092529",0.2917,7.2503,0.5861,0.7908
"ENSG00000092531",0.079,9.8164,0.4437,0.6843
"ENSG00000092621",-1.4268,10.3279,1.149e-27,1.429e-25
"ENSG00000092820",0.0394,10.7059,0.7539,0.8918
"ENSG00000092841",0.6831,12.9325,1.877e-12,5.709e-11
"ENSG00000092847",-0.2325,10.1995,0.02087,0.08215
"ENSG00000092853",-1.1366,7.4375,0.001813,0.01108
"ENSG00000092871",-0.0939,8.6248,0.5161,0.7397
"ENSG00000092929",0.4137,7.5702,0.2843,0.5324
"ENSG00000092931",-0.2877,9.0308,0.05371,0.1693
"ENSG00000092964",-0.2525,11.9249,0.03412,0.1202
"ENSG00000092969",-1.5056,8.4903,4.352e-11,1.113e-09
"ENSG00000092978",0.0747,8.815,0.5758,0.7841
"ENSG00000093000",0.3927,10.6258,2.767e-05,0.0002801
"ENSG00000093009",-0.2026,7.1418,0.7515,0.8909
"ENSG00000093010",0.2488,11.3295,0.01928,0.07707
"ENSG00000093072",-0.4417,9.6426,0.0001896,0.001557
"ENSG00000093144",0.7322,10.7178,2.504e-10,5.901e-09
"ENSG00000093167",0.718,11.032,3.861e-12,1.136e-10
"ENSG00000093183",0.5454,10.5731,3.247e-07,4.859e-06
"ENSG00000093217",-0.9746,7.842,0.0003589,0.002736
"ENSG00000094631",-0.1035,9.4366,0.344,0.5923
"ENSG00000094804",0.04,7.4695,0.9151,0.9649
"ENSG00000094841",-0.0088,8.3583,0.959,0.9842
"ENSG00000094880",-0.1354,9.6029,0.2473,0.4886
"ENSG00000094914",-0.0164,9.8778,0.87,0.945
"ENSG00000094916",-0.5609,11.1617,1.31e-07,2.1e-06
"ENSG00000094963",0.6954,11.1738,3.58e-05,0.0003511
"ENSG00000094975",-0.0762,9.9138,0.4635,0.6996
"ENSG00000095002",-0.4548,9.1925,0.0005742,0.004133
"ENSG00000095015",-0.3311,8.9527,0.01601,0.06654
"ENSG00000095059",0.0978,9.3672,0.3716,0.6184
