"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-A8-A0A7-01A","TCGA-E9-A22D-01A","TCGA-A8-A08H-01A","TCGA-BH-A0DZ-01A","TCGA-BH-A0BQ-01A","TCGA-JL-A3YW-01A","TCGA-E9-A22G-01A","TCGA-AO-A0JE-01A","TCGA-E9-A1N6-01A","TCGA-D8-A1XY-01A","TCGA-C8-A12T-01A","TCGA-AN-A0FX-01A","TCGA-A8-A06U-01A","TCGA-C8-A135-01A","TCGA-S3-AA14-01A","TCGA-E9-A3X8-01A","TCGA-BH-A0AW-01A","TCGA-C8-A12Q-01A","TCGA-AQ-A04L-01B","TCGA-AN-A0XP-01A","TCGA-EW-A6S9-01A","TCGA-A8-A06X-01A","TCGA-C8-A1HF-01A","TCGA-3C-AALK-01A","TCGA-C8-A12P-01A","TCGA-E2-A1IF-01A","TCGA-BH-A0C3-01A","TCGA-EW-A1IZ-01A","TCGA-GM-A2DO-01A","TCGA-EW-A1J5-01A","TCGA-D8-A1XG-01A","TCGA-BH-A5J0-01A","TCGA-E9-A227-01A","TCGA-B6-A1KC-01B","TCGA-AN-A046-01A","TCGA-AN-A0XL-01A","TCGA-E2-A1IL-01A","TCGA-A2-A0YL-01A","TCGA-D8-A1JC-01A","TCGA-AO-A12H-01A","TCGA-D8-A27K-01A","TCGA-A8-A06Y-01A","TCGA-BH-A1EY-01A","TCGA-BH-A0DL-01A","TCGA-GM-A5PX-01A","TCGA-GI-A2C8-01A","TCGA-D8-A73W-01A","TCGA-D8-A1JM-01A","TCGA-A2-A0T7-01A","TCGA-A8-A08I-01A","TCGA-BH-A0BL-01A","TCGA-LL-A441-01A","TCGA-D8-A143-01A","TCGA-EW-A6SB-01A","TCGA-E2-A150-01A","TCGA-A2-A0T2-01A","TCGA-AO-A0JL-01A","TCGA-EW-A1P4-01A","TCGA-LL-A73Y-01A","TCGA-A1-A0SK-01A","TCGA-HN-A2NL-01A","TCGA-C8-A1HJ-01A","TCGA-EW-A1PH-01A","TCGA-E9-A5FL-01A","TCGA-AC-A2QH-01A","TCGA-S3-AA15-01A","TCGA-A2-A3XT-01A","TCGA-D8-A1XQ-01A","TCGA-A7-A4SE-01A","TCGA-D8-A1JF-01A","TCGA-B6-A402-01A","TCGA-AC-A2QH-01B","TCGA-A7-A6VV-01A","TCGA-BH-A0RX-01A","TCGA-AR-A5QQ-01A"
"S100A10",11.3804,12.4757,13.2912,12.2405,11.3543,11.9342,11.2755,12.1243,12.2149,12.1666,12.4646,12.1392,12.4016,14.7037,12.8345,11.6418,12.6501,11.7222,13.0863,12.3809,12.744,11.3188,13.3091,13.4764,12.9245,13.5516,11.9434,13.3875,13.316,12.9532,13.469,13.054,12.38,13.6054,12.5361,13.6788,11.916,12.616,13.5241,11.6874,13.0888,12.3919,11.5957,12.8969,13.4193,12.8466,13.9483,12.33,12.6927,12.0436,12.0029,12.7084,11.8835,9.4545,11.8803,11.8222,11.4769,11.9619,12.9776,9.814,11.5302,10.5382,11.7997,12.9314,12.7579,11.036,11.0264,13.4801,12.177,11.0884,13.2964,12.3388,12.4478,12.0878,13.5348,14.6275,13.3758,14.6912,12.5837,10.0939,9.6668,13.1092,13.2056,14.4828,9.8798,12.7721,13.8148,13.2146,13.429,13.231,13.6669,10.3144,14.0724,13.4089,15.3629
"S100A11",12.1783,12.5216,13.9221,12.5316,11.9642,10.6826,11.9803,13.4583,12.7999,12.4253,12.4464,12.1549,12.3474,13.8683,13.0861,11.9906,12.531,12.3836,13.5289,12.9363,13.8029,13.0588,14.1809,14.0789,14.1264,14.5441,14.6698,14.2383,14.3408,13.5131,14.1942,13.5121,13.693,14.4019,13.2307,15.0692,14.6364,13.3527,14.4694,14.0649,13.9268,14.4734,14.4995,14.1535,14.617,14.7134,14.1133,13.6299,13.2983,14.0364,12.8235,14.25,13.2367,10.6825,13.2706,13.2935,12.9775,13.2277,13.5376,11.6349,13.4927,14.2759,14.5273,15.3766,13.9512,14.2127,12.1278,14.7628,13.9571,12.444,14.8507,13.3569,13.682,15.2635,15.1889,16.9724,16.0468,14.9509,13.1697,10.4788,10.9519,16.0297,14.364,16.4557,9.366,14.1741,14.2978,13.4001,14.2764,14.6598,14.9447,8.8307,14.6344,14.9589,15.943
"TCHH",5.8478,6.4465,5.8681,6.1245,5.8928,5.9416,5.8894,6.3551,6.0028,6.2263,5.9535,5.9567,6.1018,6.4241,5.5557,6.0886,5.9457,5.8151,6.0381,6.0012,6.5621,6.0937,6.5556,6.7562,5.9532,7.3043,5.6622,6.8861,6.7026,6.8836,6.281,6.6524,5.9723,5.9531,5.9392,6.0005,6.282,6.4893,6.2724,6.0007,6.3466,6.0653,6.5044,6.0465,11.2992,6.0602,6.6336,6.0995,6.2551,6.2183,6.0701,6.3924,5.9657,5.9199,6.4255,6.1763,6.2022,5.9249,5.9708,6.2073,5.9669,5.7208,8.5027,7.3697,6.1538,6.2811,6.3464,5.9551,6.4914,6.0172,6.059,6.0505,5.9912,5.9568,7.0494,7.0283,5.862,7.5531,6.047,6.2894,5.9577,6.0669,5.6521,11.3467,5.7048,6.2291,6.0387,6.0289,7.6326,6.0984,6.1325,6.1343,6.746,5.9073,6.7637
"HRNR",6.6458,6.8454,6.3151,6.0675,7.2478,6.1131,6.8721,6.2172,6.5045,7.1995,6.3666,7.1877,6.3448,6.1153,6.0497,6.5468,7.0288,6.8658,7.1794,6.2895,6.1533,5.5596,6.4414,5.6728,5.9898,6.0231,5.568,5.5665,5.5603,5.8211,5.8565,6.2228,5.6579,5.573,6.4739,5.9522,5.7413,5.8735,5.6854,5.6534,5.9913,5.7801,5.3397,5.7295,5.9821,6.2306,6.4006,5.88,6.1432,5.999,6.268,5.6564,5.6545,5.9199,5.6741,6.454,6.3168,6.3599,6.2254,5.7324,6.4829,5.9961,5.9226,5.7318,5.7989,6.3819,6.4101,5.7443,6.139,5.8209,6.3669,6.0208,5.6488,5.6173,5.975,6.1288,6.304,6.0124,6.0147,5.7705,6.0294,6.2722,5.9213,6.7007,8.9659,5.949,5.9262,5.6503,6.3027,5.8228,5.6668,10.3321,5.8829,6.5185,6.3662
"FLG",7.1702,6.8325,5.9099,7.3978,6.4452,5.8323,6.4385,6.7488,7.3591,7.526,7.0865,7.0946,7.7219,6.6535,6.8958,6.7257,7.4797,7.1324,7.2472,7.4104,5.9645,5.7199,7.4052,6.0409,5.6482,5.9847,5.3397,7.2004,6.6711,7.1527,6.281,6.6681,5.6579,6.1386,6.8933,5.5913,6.1023,6.3471,5.5844,7.1553,6.2538,5.6517,5.7234,6.5026,6.5765,5.9927,6.9255,5.3397,5.9328,6.0895,6.7732,5.7272,6.6836,6.0082,6.0041,6.0667,6.2951,6.8675,6.2012,5.5669,6.919,5.9961,6.4231,6.2337,5.8822,5.8566,6.3464,5.5738,6.4386,6.0172,6.5617,6.4475,5.8731,5.3397,5.5659,7.3105,5.9228,6.2828,7.1658,5.7132,7.2978,6.596,5.8322,6.3637,9.8017,6.9853,5.7252,6.0619,7.0747,6.4742,6.1325,11.2466,6.4495,5.9073,7.1512
"IVL",5.634,5.5538,5.3397,5.3397,5.7031,5.3397,5.3397,6.6287,5.3397,5.5518,5.6483,5.3397,5.3397,5.3397,5.5557,5.3397,5.3397,5.3397,5.3397,5.3397,8.2518,5.3397,6.1849,6.0409,5.558,8.4467,5.3397,7.3221,7.7984,6.3559,6.5144,6.4623,6.2539,7.4752,6.0882,5.3397,6.3339,5.5587,5.3397,5.3397,6.12,5.3397,5.3397,5.7894,6.241,5.8282,5.5565,5.5614,5.6583,5.5498,5.5621,5.3397,6.3863,5.3397,5.3397,5.5516,5.3397,5.6996,6.8682,5.3397,5.3397,5.3397,5.6528,11.8714,5.5458,5.7409,5.5585,5.7443,6.6778,5.3397,7.3201,5.6323,5.5585,5.6173,5.3397,8.0216,6.1179,6.2305,5.5549,5.8664,5.3397,6.8057,7.8402,10.5819,5.3397,5.3397,5.3397,5.6503,9.0834,5.5821,6.1943,5.3397,5.6545,5.6688,11.5053
"PGLYRP4",5.548,5.5538,5.7719,5.6395,5.808,5.3397,5.5485,5.8662,5.7051,5.5518,5.3397,5.8848,5.5533,5.3397,5.821,5.3397,5.3397,5.6412,5.3397,5.5505,5.5774,5.5596,5.8788,5.3397,5.8261,5.7367,5.3397,5.9767,5.9596,5.3397,5.5718,5.9869,5.3397,5.3397,5.6618,5.841,5.5721,6.1768,5.8844,5.3397,5.718,6.127,5.5617,5.6583,5.9412,5.559,5.5565,5.5614,5.7894,5.3397,6.0368,5.3397,5.6545,5.3397,5.3397,5.3397,5.3397,5.3397,7.893,5.3397,6.22,5.3397,5.9994,9.7443,5.3397,6.6311,5.5585,7.2853,6.1126,5.5557,6.7243,5.9896,5.9545,9.5239,6.0825,6.8496,5.6019,6.9868,5.3397,6.0806,5.3397,6.4843,7.3788,6.2723,5.3397,7.1172,5.9661,5.5595,8.8196,5.5821,6.646,5.3397,6.4696,5.7423,7.9322
"S100A9",8.5011,10.4919,12.3348,9.3608,9.4174,9.0969,9.7312,12.0374,10.2144,9.9205,9.0726,7.7684,7.8541,11.8732,10.5046,8.0988,11.1803,8.0922,10.0084,9.827,12.316,8.6137,12.2877,13.4302,11.823,13.615,9.2081,14.1644,10.0048,7.4145,8.3952,9.7981,8.6664,12.3085,6.8651,13.2097,11.9609,16.2865,14.8168,7.8676,8.6773,10.1069,10.3105,8.0837,12.6989,9.3597,8.0971,7.4518,7.0801,7.7977,12.0002,9.2417,8.4442,6.1211,7.3147,6.974,6.8943,8.5396,12.8579,7.1814,11.6319,7.1646,12.3697,18.6635,8.1614,15.4973,9.099,11.5082,11.1109,9.985,14.0051,8.9846,13.391,14.7125,11.1307,14.3466,9.9197,12.0428,7.4471,8.5891,7.7139,9.8045,11.9588,12.965,8.5663,12.132,9.5389,10.2819,11.2465,13.5022,8.721,6.784,11.6908,12.0672,14.959
"S100A8",7.1138,8.313,9.6529,7.4676,7.5164,8.5114,7.7853,9.7765,8.7652,8.9226,7.1702,6.4296,6.444,10.534,7.7376,6.7119,10.4548,6.8147,8.7146,7.8101,9.2696,7.7467,10.4346,11.8304,8.2887,12.5528,8.9993,12.9781,8.6212,6.1661,7.0648,7.5494,6.5206,9.7702,5.9799,7.9199,10.5201,15.1543,14.8222,6.2667,7.1215,7.5945,8.6107,7.1696,9.2954,7.7346,6.9497,7.912,6.5599,6.5645,7.4742,8.1442,7.6262,6.0082,6.8889,6.558,5.9716,6.3198,11.4233,6.0856,8.0919,6.0955,8.3349,18.4103,6.7024,11.4408,7.2795,10.1356,7.409,8.5254,12.4827,6.8244,10.1906,15.0572,8.825,14.1796,10.6191,9.2365,6.7861,7.6518,6.2073,8.169,10.4439,12.4068,6.6173,9.6851,8.0756,8.7686,8.2254,11.6719,6.6638,6.3814,8.4278,10.8807,14.3886
"S100A7A",5.548,5.5538,5.5564,5.3397,5.5499,5.3397,5.6348,10.9628,6.4512,5.3397,5.5582,5.3397,5.3397,5.3397,5.5557,5.3397,5.3397,5.5531,5.3397,5.3397,5.7505,5.7199,5.3397,9.2846,7.6586,7.2426,5.94,11.6096,5.8775,5.3397,5.6676,5.3397,5.3397,5.8592,5.5677,7.0974,5.9921,14.6081,12.0724,5.3397,5.9155,5.6517,6.0356,5.9328,6.1233,5.3397,5.3397,5.5614,5.3397,5.3397,14.2422,5.3397,5.3397,5.3397,5.3397,5.3397,5.3397,5.3397,6.5901,5.5669,7.121,5.3397,8.6834,16.4001,5.3397,14.6418,5.9153,5.5738,5.3397,5.3397,8.7769,5.5468,5.7761,8.1899,5.891,8.839,5.71,5.9745,5.3397,5.6449,5.3397,7.271,6.6413,5.8443,5.3397,6.1953,5.3397,5.3397,5.8162,9.757,5.3397,5.3397,5.9258,5.5727,9.524
"S100A7",5.7552,6.1587,6.875,5.7629,5.7589,5.3397,6.4016,14.7461,8.4537,5.5518,5.5582,5.5468,5.5533,5.5761,6.4747,5.5496,6.1906,5.7086,5.6714,5.9324,5.9645,6.7289,5.9214,14.3017,12.1109,10.6209,8.2443,15.5695,7.8605,6.3344,6.8158,7.4569,5.7888,5.9948,5.3397,12.3679,7.2404,16.1661,11.37,5.5618,6.3896,6.9147,7.2366,7.5569,6.2938,5.9927,5.3397,6.4439,5.3397,5.7589,10.7729,5.3397,6.1912,5.3397,5.5764,5.6391,5.3397,5.7549,8.883,5.5669,10.1446,5.5602,13.0915,17.959,5.3397,16.8595,6.9389,7.0005,6.0564,5.3397,12.2458,5.3397,6.3012,11.3791,6.9231,12.4138,7.1921,7.2966,5.5549,5.7132,5.3397,10.7865,9.9697,7.609,5.3397,8.786,5.5627,5.6503,6.4452,9.837,5.9897,5.3397,6.3642,6.4543,13.7899
"S100A6",13.0158,13.6223,15.1297,13.6018,12.846,13.2442,12.6398,14.3419,13.5515,13.2562,13.3436,13.2281,13.553,15.4302,14.3603,13.044,13.4695,13.5189,14.5157,13.8224,12.7858,15.529,14.534,13.3751,13.0699,13.9924,13.0473,13.4259,12.4213,13.585,13.6425,14.7111,11.865,12.2957,12.1169,15.8825,12.9333,14.2886,13.5499,12.6552,13.881,14.5761,12.3549,12.7939,14.1252,14.3044,12.752,14.6926,13.3693,11.1694,14.7692,13.9996,13.9536,12.3579,11.8956,12.9098,11.5727,12.6633,11.9259,13.604,12.0624,12.3879,12.5412,13.2139,13.9475,13.1627,14.2223,15.878,12.0059,12.1186,13.8633,12.4421,11.8319,15.4609,13.7774,15.2069,12.6742,15.888,15.3095,11.7656,10.5042,14.1848,13.5771,16.8756,9.8185,14.0712,12.3716,14.1198,13.6671,11.8379,14.8492,7.9328,15.0273,13.6045,15.7229
"S100A3",5.9604,6.3257,6.7101,6.2023,6.1696,6.3112,5.849,6.66,6.0938,6.177,6.1186,6.0788,6.2082,7.0807,6.6912,6.0598,6.3261,6.156,6.5274,6.2446,6.476,6.329,7.8713,7.1264,6.6261,6.9453,6.411,6.2336,6.4186,6.2426,6.7685,6.813,6.1717,5.9948,6.0181,7.7336,6.9206,6.302,6.3304,6.4659,6.12,6.2107,6.2411,6.3985,6.4777,6.6949,6.3591,6.6444,6.5964,6.0895,6.0701,7.3397,6.2183,5.5779,6.3518,6.4166,5.6394,6.2103,6.0044,5.7926,6.22,6.0309,6.3131,6.8295,6.8882,6.2258,6.9265,6.5241,6.0564,5.908,6.7105,6.3743,6.2777,6.458,6.3085,6.7484,7.0067,7.024,6.4326,5.9468,5.9184,6.7883,6.4412,7.7466,5.9687,6.5093,6.0035,6.9701,8.977,6.1345,6.1943,6.03,7.1286,6.8208,8.8083
"S100A4",10.9652,11.2615,12.3885,11.4579,10.9375,12.2912,10.2122,10.9255,12.0781,11.3364,10.9959,11.2562,11.4933,14.7852,12.3602,10.868,12.3476,11.5311,13.1517,12.1476,11.9394,11.5391,13.1709,11.8597,11.4907,12.3991,11.0477,11.2453,11.376,11.2729,12.0165,11.425,10.0165,10.3176,9.1893,13.1304,11.7891,12.1105,11.3946,11.1836,10.5968,10.0715,11.7441,10.8726,11.0295,12.0906,11.2946,11.8892,11.7038,10.2957,10.2332,12.8909,11.1329,9.8176,10.9219,11.9448,9.692,9.958,10.2719,10.6692,9.1163,9.0339,11.3384,11.9001,11.7203,11.2535,11.6703,11.2673,10.7273,10.9493,12.3763,11.0342,10.2044,12.7733,10.8849,12.2235,11.0564,11.7046,11.5837,9.0247,9.9102,10.1516,10.8641,12.1091,9.3136,11.3156,10.9395,12.8242,12.9693,11.153,12.583,8.4914,12.8883,12.5283,11.5787
"S100A2",8.3348,8.2541,8.9329,7.4058,7.7085,6.6081,7.6587,8.9534,7.9098,7.315,7.1702,7.3314,7.3942,6.596,8.8641,7.6682,6.5467,7.4319,7.0574,7.6644,6.3298,5.9182,9.3831,10.5138,8.7461,9.9954,8.7816,9.6532,6.4785,8.7525,9.6337,9.1519,8.963,7.4101,6.696,8.5477,10.1478,7.7381,6.5748,6.6951,7.2325,6.4797,6.56,9.0143,6.8556,9.1723,6.4207,7.0184,6.1125,6.2864,8.812,8.6517,7.1177,5.8145,6.2428,6.3158,6.7117,7.0016,8.5676,6.0157,6.9866,6.7618,6.4436,11.975,7.0074,6.9051,7.0448,9.1488,8.3823,5.7131,10.9054,6.8953,9.4282,9.3777,9.3797,8.554,7.3782,14.2932,9.7988,7.2853,6.4558,7.0951,7.7239,14.9791,6.2225,9.1281,6.2451,7.8348,10.4217,5.8792,9.3258,6.307,10.6773,7.1893,16.7894
"S100A16",11.3008,11.8302,13.0873,11.4749,11.4351,11.0583,11.2971,13.0996,11.4747,11.6614,10.98,11.5125,11.6129,12.3224,12.4127,11.0939,10.9275,11.5242,12.2456,11.5064,12.122,12.9815,12.5945,13.3238,13.6299,12.6509,12.0117,13.3215,11.6888,13.3447,13.8393,13.0439,9.7687,14.5338,13.3133,14.4663,15.2755,13.807,10.8329,11.3352,13.9653,12.9054,13.594,13.7706,13.4067,13.4712,13.3955,12.4988,11.5558,13.1883,12.92,12.701,12.6478,8.9279,13.3756,11.0267,11.5747,12.5151,12.6359,13.0426,12.7818,11.8107,11.4567,14.4043,13.1145,10.4278,13.4946,14.3032,12.515,10.8224,12.9591,10.2425,14.0711,13.9823,10.4187,13.6824,11.9811,14.3423,12.0364,9.5404,8.4779,12.6987,11.2165,14.9374,7.2379,12.7538,12.5396,11.4853,12.6052,10.1572,14.0196,6.6306,12.9981,10.9104,15.2223
"S100A14",10.3806,10.573,11.9117,9.9345,11.1574,5.8323,10.2358,12.3747,10.2541,10.5883,9.1835,10.4684,10.0997,6.149,10.1368,10.2592,8.9146,10.4544,8.8118,9.5411,10.8024,12.8533,11.1425,13.7015,13.8081,10.2188,9.3344,13.7216,10.9283,14.3791,12.2897,10.3098,8.3044,13.638,12.5481,14.0489,13.8393,13.0577,6.3304,11.2131,13.6963,12.7214,13.3039,13.0169,12.5648,13.4325,13.7702,11.776,12.2982,13.9561,13.1674,12.3057,12.8326,5.3397,12.9795,11.2717,10.6359,12.8278,13.1669,13.3031,12.1007,8.6881,11.7049,14.5222,12.7869,11.0105,13.6502,14.0664,12.2027,10.5318,12.7044,8.728,12.2887,13.3331,10.4612,12.6975,9.7249,13.1463,10.1879,10.1224,6.3947,10.0067,12.8979,14.4295,5.3397,8.5064,13.4388,11.7591,11.912,7.1201,14.2065,5.3397,10.6567,9.5025,14.1986
"S100A13",11.1463,11.4997,12.6932,11.5849,11.0957,14.2241,11.3289,12.0014,11.3718,11.4434,11.1533,11.0768,11.2888,12.705,11.839,11.1872,11.6722,11.3629,12.3047,11.2389,10.9359,12.5184,11.286,11.5847,12.6907,11.131,10.4501,10.6363,10.2304,12.5163,11.0213,13.3965,9.3224,11.2082,10.8012,14.8015,12.3699,10.5859,10.6779,10.8067,11.82,12.8707,11.1433,11.9925,11.0498,12.7745,12.2384,11.1533,11.3509,12.5816,12.9993,11.528,12.1108,9.7926,12.7857,11.474,11.3129,12.0638,11.4774,10.686,11.5137,12.4596,10.6646,10.3858,12.7406,11.8815,13.7561,11.4598,11.0181,9.7209,11.6567,10.5232,11.2743,13.1391,11.349,14.5548,14.2319,12.384,12.9661,9.3067,9.0256,12.0883,10.7142,12.0512,8.2146,10.3717,14.0551,10.3892,11.0698,8.9541,13.9852,8.3144,12.9614,13.0968,11.8158
"S100A1",10.4204,10.5369,10.9953,10.5785,9.788,15.2765,10.5111,11.0982,10.3497,9.9567,10.2573,10.223,10.3318,7.7179,10.6176,9.9811,9.8312,10.8635,12.6081,9.1729,7.3534,6.6183,8.2078,7.419,10.6068,7.6153,8.344,8.5567,7.1554,10.4871,6.4281,14.2465,6.4401,7.5022,8.5567,11.7531,9.5618,7.6219,7.627,7.2858,7.6422,10.0969,7.446,8.5854,9.1468,10.7057,10.1921,7.6808,7.7698,10.5753,11.7542,8.2283,10.5637,6.2184,11.5055,9.9469,10.6882,9.7807,6.8434,7.3814,9.6002,11.2305,6.6274,7.1683,12.2817,9.7157,13.875,9.881,9.7388,7.1317,10.299,9.3688,10.0903,13.5344,10.9195,15.4142,14.996,10.1603,13.7627,7.0252,7.0864,12.5566,10.2291,8.0002,6.5701,8.4716,14.7493,9.0318,10.6914,6.6056,14.5917,7.7919,13.0568,13.1947,6.7471
"CHTOP",11.2911,11.2885,11.497,11.2708,11.2602,12.3278,11.3417,11.5816,11.2157,11.1887,11.4757,11.2787,11.2498,11.0436,11.1247,11.2286,11.1576,11.2788,10.8356,11.0419,11.0498,11.7553,11.2183,11.5083,11.6676,11.4269,12.5727,11.6072,11.9749,11.6736,11.8108,11.8547,11.3603,11.8369,11.5314,12.1706,11.7618,11.6305,11.4985,11.7548,11.7221,12.1051,11.8391,11.9606,11.1767,11.9794,11.3207,11.6466,11.706,12.1694,12.4745,12.039,11.614,11.8683,11.4648,11.6623,11.7374,11.2922,11.6582,11.6082,11.8566,11.9851,11.3565,11.9646,12.0644,11.2622,12.3883,12.295,11.8318,11.3031,11.8351,12.169,11.7222,12.3716,11.2771,11.9531,12.7701,11.4587,11.4808,11.9672,11.7657,12.5091,11.5893,12.0456,10.9074,11.8423,12.3299,11.8284,12.3416,10.8592,12.9493,11.2278,12.102,11.9532,11.5802
"SNAPIN",9.7856,9.7709,10.471,9.8964,9.7158,11.6104,9.6479,10.2213,9.8878,9.7906,9.7785,9.6605,9.8689,10.8534,9.9394,9.6926,10.19,9.7136,10.5417,9.9562,9.861,10.3833,10.2738,10.2045,10.8724,9.7077,10.8959,10.4999,10.4053,10.5411,9.9143,10.3347,10.5499,10.7232,9.882,10.7636,10.8383,10.3206,9.9365,10.8902,10.6107,10.7122,10.6565,10.593,10.4639,11.0729,10.3646,10.3326,9.9893,11.093,10.726,10.6239,10.8023,10.6016,10.0269,10.3872,10.4356,10.3347,10.5295,10.1081,10.5183,10.5906,10.2816,10.6592,10.9989,10.5165,10.7425,10.5573,10.3895,9.6007,10.3708,9.9568,11.1828,10.5623,9.7851,11.3799,10.8015,9.6259,10.0322,9.8321,10.2438,11.3366,9.8746,10.3315,9.0252,10.1736,10.3479,10.0201,10.189,10.4165,10.6916,9.0189,10.281,10.588,10.3893
"ILF2",12.0676,12.1576,12.6362,11.8717,12.2547,12.2417,11.8882,12.7242,12.0743,11.9445,12.0583,11.7568,12.0309,12.4513,12.422,12.2587,12.1761,12.2367,11.9642,11.9639,12.4122,13.0471,12.6146,13.418,13.0704,12.5971,13.2527,13.4478,13.3951,12.4853,13.102,13.3596,13.1742,13.9123,12.5187,12.8214,13.4785,13.5651,12.8931,13.0026,12.8734,13.7354,13.5872,12.9165,13.4584,12.8898,12.8727,12.0504,11.8231,13.0543,13.1322,13.0497,12.9184,12.7941,12.865,12.6055,12.6467,12.7571,12.8082,12.2418,13.0088,13.6415,12.696,13.8661,12.9229,12.3017,13.0872,14.2946,12.7032,12.4931,13.9906,12.8852,14.6878,14.4304,13.8755,13.6995,13.4818,13.231,12.7112,14.0221,13.9044,13.0768,13.4602,12.7165,13.1522,13.4417,14.0028,13.736,13.6233,12.8549,13.8291,13.0157,14.6332,13.878,13.06
"NPR1",9.798,11.556,10.6804,11.6643,9.6382,10.5875,10.4457,10.2529,11.0631,11.685,11.4991,10.74,11.4627,12.9536,11.3451,9.8886,12.4156,9.7881,12.6308,10.6896,8.015,7.6012,10.8816,8.2124,8.9647,8.4074,8.0204,8.096,8.0581,8.0142,7.6589,8.6101,7.4808,8.8576,8.1068,8.9731,9.0165,8.3961,7.3285,7.9449,7.9601,8.0813,7.817,8.2415,7.7209,9.2963,11.1537,8.0522,7.5327,7.4652,7.4492,8.8095,8.795,7.9348,7.9615,10.4446,9.1948,8.6783,7.45,7.8891,7.9125,8.4754,7.7943,7.4683,9.2576,7.959,9.2948,9.8578,7.8418,6.8575,9.784,8.7337,8.0664,7.4285,9.3109,9.0047,8.5844,7.5611,8.6007,6.7913,7.5185,7.8401,7.0943,9.0591,7.1255,10.138,8.3094,7.2302,8.8951,7.3877,7.377,7.1484,9.1716,9.0694,7.7667
"AL513523.2",9.9663,10.2799,10.6346,10.0321,9.7393,9.5248,9.7852,10.4784,10.1428,9.963,9.8946,9.9306,10.2047,9.9473,10.1414,9.7926,9.8013,9.8561,9.9978,10.2307,9.2276,10.2409,9.6638,9.3983,10.7686,9.7463,11.33,10.5345,10.1934,10.0718,10.2156,10.0894,10.5181,10.2271,9.6409,12.0772,10.5898,10.5956,10.8613,10.6454,9.8166,11.1414,10.8065,11.1483,9.637,11.3704,10.1876,10.3369,10.9884,11.3276,10.6518,11.1726,10.7227,11.0749,10.568,10.5861,10.1346,10.4446,10.8314,10.1675,11.14,10.9171,10.3783,10.7553,11.5951,10.6909,10.604,11.1962,9.9987,9.6024,10.2193,10.3481,10.5882,10.7891,10.1281,11.159,11.4679,10.1311,9.7751,9.5736,10.9764,11.6892,9.4432,11.544,9.0611,10.7896,11.7276,10.114,10.8044,9.9866,11.7316,10.3144,11.1594,10.579,9.886
"INTS3",11.8633,12.0686,11.4421,11.799,11.6315,11.2985,11.6291,11.7073,11.9928,11.7241,11.8639,11.8061,11.9749,11.1854,11.5318,11.7622,11.5404,11.5996,11.5819,11.7979,10.7746,11.45,11.2486,10.8854,12.0186,11.0182,12.4599,11.9979,11.579,11.7651,11.5227,11.6131,11.9399,11.5825,11.3723,12.25,11.6309,12.4344,11.9397,12.3677,11.5802,12.6545,11.7788,12.5387,11.1282,12.2213,11.8814,11.2637,12.2857,13.2897,12.5338,11.7975,12.0558,12.7699,12.0627,12.1033,12.1386,12.1883,12.6867,11.3978,13.0177,12.3728,11.9591,12.1683,12.339,12.3461,12.5446,12.7344,11.6379,11.4715,11.8112,11.9226,12.101,11.5711,11.7146,12.095,12.2715,11.6662,11.3779,11.2772,12.1326,12.7962,10.7962,12.0422,11.8731,12.1719,13.1555,11.6009,12.3951,11.7417,12.9799,12.9964,12.7543,11.4298,10.8931
"SLC27A3",10.2127,10.2431,10.6145,10.0821,9.7009,8.7236,9.8951,10.4958,10.1627,10.2948,10.5222,9.9442,10.2665,11.0832,10.1109,9.519,10.1913,9.7424,10.3457,10.4207,9.542,10.536,10.358,10.2308,9.2655,9.3567,9.0419,9.5621,9.7969,10.0183,9.1273,9.1867,9.0083,9.3623,9.7229,11.268,10.8433,9.4897,10.2426,8.9225,9.4012,9.7858,9.8809,10.2338,9.0412,11.4734,9.9406,10.2177,10.0675,9.871,9.6885,10.8537,9.3627,9.9268,8.9452,11.0543,8.9621,9.4196,10.128,10.2757,9.1118,9.6422,9.9841,9.836,10.1118,9.6548,9.9651,8.7223,9.4981,9.6814,9.3626,9.6654,9.5503,9.2149,9.1699,9.8621,9.718,8.8856,9.7049,8.4593,9.6225,9.6151,9.1543,10.8714,8.135,10.1918,9.2948,8.6711,10.6391,9.1097,10.2186,8.5539,10.6225,10.0533,10.6583
